repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;56000;14000;780;10;0.03943;0.20516;33806.00000;0.29931;0.22581;0.08689;20343.00000;70000.00000;0.42906;-1.00000;-1.00000;0.38137;0.84143;-1.00000;-1.00000;-1.00000;0.18957;0.21874
2;56000;14000;780;10;0.03757;0.20583;33821.00000;0.30022;0.22638;0.08685;20334.00000;70000.00000;0.43042;-1.00000;-1.00000;0.38118;0.84639;-1.00000;-1.00000;-1.00000;0.19181;0.21749
3;56000;14000;780;10;0.03471;0.20479;33833.00000;0.29887;0.22530;0.08644;20329.00000;70000.00000;0.42830;-1.00000;-1.00000;0.37948;0.83769;-1.00000;-1.00000;-1.00000;0.19294;0.21893
4;56000;14000;780;10;0.03807;0.20536;33839.00000;0.29976;0.22583;0.08674;20346.00000;70000.00000;0.42945;-1.00000;-1.00000;0.38074;0.84254;-1.00000;-1.00000;-1.00000;0.19236;0.21742
5;56000;14000;780;10;0.03557;0.20433;33826.00000;0.29821;0.22473;0.08625;20374.00000;70000.00000;0.42737;-1.00000;-1.00000;0.37868;0.83370;-1.00000;-1.00000;-1.00000;0.19394;0.21767
6;56000;14000;780;10;0.03543;0.20591;33846.00000;0.30024;0.22649;0.08720;20205.00000;70000.00000;0.43058;-1.00000;-1.00000;0.38274;0.84817;-1.00000;-1.00000;-1.00000;0.19315;0.22015
7;56000;14000;780;10;0.03636;0.20541;33837.00000;0.30002;0.22660;0.08645;20350.00000;70000.00000;0.42956;-1.00000;-1.00000;0.37951;0.84232;-1.00000;-1.00000;-1.00000;0.19609;0.21711
8;56000;14000;780;10;0.03757;0.20520;33819.00000;0.29942;0.22587;0.08668;20330.00000;70000.00000;0.42915;-1.00000;-1.00000;0.38050;0.84133;-1.00000;-1.00000;-1.00000;0.19013;0.21475
9;56000;14000;780;10;0.03693;0.20560;33785.00000;0.29956;0.22616;0.08719;20333.00000;70000.00000;0.42995;-1.00000;-1.00000;0.38262;0.84538;-1.00000;-1.00000;-1.00000;0.19608;0.21906
10;56000;14000;780;10;0.03421;0.20697;33816.00000;0.30193;0.22682;0.08756;20354.00000;70000.00000;0.43274;-1.00000;-1.00000;0.38415;0.85657;-1.00000;-1.00000;-1.00000;0.19537;0.21853
11;56000;14000;780;10;0.03586;0.20518;33834.00000;0.29978;0.22562;0.08680;20360.00000;70000.00000;0.42909;-1.00000;-1.00000;0.38096;0.84126;-1.00000;-1.00000;-1.00000;0.19580;0.21649
12;56000;14000;780;10;0.03686;0.20560;33835.00000;0.30020;0.22593;0.08692;20333.00000;70000.00000;0.42995;-1.00000;-1.00000;0.38150;0.84481;-1.00000;-1.00000;-1.00000;0.19253;0.21977
