repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;6499;1625;22;2;0.00000;0.00078;3893.00000;0.00143;0.00097;0.00005;2308.00000;8124.00000;0.00814;0.01640;0.01968;0.01417;0.01565;0.01706;0.01521;-1.00000;0.00000;0.00737
2;6499;1625;22;2;0.00000;0.00076;3886.00000;0.00132;0.00114;0.00010;2298.00000;8124.00000;0.00807;0.01630;0.02056;0.01499;0.01650;0.01695;0.01475;-1.00000;0.00000;0.00583
3;6499;1625;22;2;0.00000;0.00048;3895.00000;0.00089;0.00061;0.00003;2306.00000;8124.00000;0.00684;0.01389;0.01918;0.01371;0.01513;0.01449;0.01327;-1.00000;0.00000;0.00381
4;6499;1625;22;2;0.00000;0.00053;3896.00000;0.00093;0.00071;0.00006;2272.00000;8124.00000;0.00706;0.01433;0.02005;0.01447;0.01595;0.01494;0.01353;-1.00000;0.00000;0.00305
5;6499;1625;22;2;0.00000;0.00052;3902.00000;0.00098;0.00071;0.00003;2297.00000;8124.00000;0.00702;0.01424;0.01932;0.01382;0.01526;0.01484;0.01343;-1.00000;0.00000;0.00483
6;6499;1625;22;2;0.00000;0.00048;3891.00000;0.00086;0.00058;0.00005;2302.00000;8124.00000;0.00686;0.01393;0.01970;0.01419;0.01564;0.01453;0.01337;-1.00000;0.00000;0.00508
7;6499;1625;22;2;0.00000;0.00058;3901.00000;0.00109;0.00067;0.00003;2299.00000;8124.00000;0.00729;0.01476;0.01936;0.01386;0.01531;0.01538;0.01406;-1.00000;0.00000;0.00353
8;6499;1625;22;2;0.00000;0.00055;3890.00000;0.00100;0.00074;0.00004;2298.00000;8124.00000;0.00719;0.01459;0.01955;0.01404;0.01549;0.01520;0.01375;-1.00000;0.00000;0.00332
9;6499;1625;22;2;0.00000;0.00047;3908.00000;0.00087;0.00054;0.00003;2319.00000;8124.00000;0.00680;0.01382;0.01923;0.01377;0.01519;0.01441;0.01334;-1.00000;0.00000;0.00279
10;6499;1625;22;2;0.00000;0.00057;3902.00000;0.00104;0.00074;0.00005;2303.00000;8124.00000;0.00726;0.01473;0.01966;0.01415;0.01561;0.01534;0.01387;-1.00000;0.00000;0.00530
11;6499;1625;22;2;0.00000;0.00049;3893.00000;0.00093;0.00056;0.00003;2308.00000;8124.00000;0.00690;0.01401;0.01922;0.01375;0.01517;0.01460;0.01350;-1.00000;0.00000;0.00376
12;6499;1625;22;2;0.00000;0.00068;3891.00000;0.00125;0.00082;0.00006;2310.00000;8124.00000;0.00772;0.01561;0.01986;0.01435;0.01582;0.01625;0.01467;-1.00000;0.00000;0.00431
13;6499;1625;22;2;0.00000;0.00070;3898.00000;0.00128;0.00087;0.00007;2306.00000;8124.00000;0.00781;0.01578;0.01998;0.01445;0.01593;0.01642;0.01474;-1.00000;0.00000;0.00356
14;6499;1625;22;2;0.00000;0.00061;3893.00000;0.00111;0.00079;0.00005;2303.00000;8124.00000;0.00742;0.01503;0.01963;0.01412;0.01558;0.01565;0.01411;-1.00000;0.00000;0.00381
15;6499;1625;22;2;0.00000;0.00059;3892.00000;0.00108;0.00073;0.00005;2299.00000;8124.00000;0.00735;0.01490;0.01968;0.01417;0.01563;0.01552;0.01408;-1.00000;0.00000;0.00304
16;6499;1625;22;2;0.00000;0.00052;3901.00000;0.00093;0.00069;0.00006;2294.00000;8124.00000;0.00705;0.01431;0.01991;0.01437;0.01583;0.01492;0.01355;-1.00000;0.00000;0.00404
17;6499;1625;22;2;0.00000;0.00072;3885.00000;0.00133;0.00088;0.00005;2307.00000;8124.00000;0.00792;0.01598;0.01966;0.01416;0.01563;0.01663;0.01494;-1.00000;0.00000;0.00631
18;6499;1625;22;2;0.00000;0.00056;3895.00000;0.00095;0.00076;0.00010;2295.00000;8124.00000;0.00721;0.01463;0.02049;0.01493;0.01641;0.01524;0.01373;-1.00000;0.00000;0.00356
19;6499;1625;22;2;0.00000;0.00049;3899.00000;0.00083;0.00078;0.00008;2290.00000;8124.00000;0.00691;0.01403;0.02035;0.01478;0.01625;0.01462;0.01308;-1.00000;0.00000;0.00354
20;6499;1625;22;2;0.00000;0.00049;3898.00000;0.00095;0.00063;0.00002;2293.00000;8124.00000;0.00691;0.01402;0.01910;0.01361;0.01504;0.01462;0.01338;-1.00000;0.00000;0.00406
