repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;6499;1625;22;2;0.00000;0.00017;2334.00000;0.00032;0.00013;0.00001;803.00000;8124.00000;0.00786;0.01608;0.04778;0.03507;0.03916;0.01695;0.01669;-1.00000;0.00000;0.00207
2;6499;1625;22;2;0.00000;0.00021;2322.00000;0.00041;0.00023;0.00001;799.00000;8124.00000;0.00816;0.01669;0.04809;0.03533;0.03947;0.01758;0.01713;-1.00000;0.00000;0.00299
3;6499;1625;22;2;0.00000;0.00020;2338.00000;0.00039;0.00015;0.00001;804.00000;8124.00000;0.00806;0.01648;0.04774;0.03505;0.03915;0.01737;0.01706;-1.00000;0.00000;0.00293
4;6499;1625;22;2;0.00000;0.00013;2313.00000;0.00025;0.00016;0.00000;798.00000;8124.00000;0.00763;0.01562;0.04793;0.03517;0.03926;0.01650;0.01619;-1.00000;0.00000;0.00250
5;6499;1625;22;2;0.00000;0.00023;2310.00000;0.00045;0.00023;0.00001;799.00000;8124.00000;0.00830;0.01696;0.04818;0.03542;0.03957;0.01787;0.01741;-1.00000;0.00000;0.00209
6;6499;1625;22;2;0.00000;0.00015;2335.00000;0.00029;0.00014;0.00001;790.00000;8124.00000;0.00777;0.01591;0.04848;0.03562;0.03976;0.01678;0.01650;-1.00000;0.00000;0.00207
7;6499;1625;22;2;0.00000;0.00016;2323.00000;0.00031;0.00013;0.00001;791.00000;8124.00000;0.00783;0.01603;0.04844;0.03559;0.03974;0.01690;0.01663;-1.00000;0.00000;0.00249
8;6499;1625;22;2;0.00000;0.00026;2327.00000;0.00051;0.00022;0.00001;801.00000;8124.00000;0.00846;0.01727;0.04814;0.03540;0.03955;0.01818;0.01774;-1.00000;0.00000;0.00252
9;6499;1625;22;2;0.00000;0.00025;2323.00000;0.00043;0.00023;0.00002;802.00000;8124.00000;0.00839;0.01713;0.04816;0.03543;0.03957;0.01803;0.01756;-1.00000;0.00000;0.00248
10;6499;1625;22;2;0.00000;0.00020;2332.00000;0.00037;0.00016;0.00001;798.00000;8124.00000;0.00806;0.01648;0.04818;0.03541;0.03954;0.01737;0.01706;-1.00000;0.00000;0.00214
11;6499;1625;22;2;0.00000;0.00021;2342.00000;0.00040;0.00019;0.00001;801.00000;8124.00000;0.00813;0.01661;0.04807;0.03533;0.03945;0.01749;0.01712;-1.00000;0.00000;0.00211
12;6499;1625;22;2;0.00000;0.00024;2333.00000;0.00048;0.00020;0.00001;787.00000;8124.00000;0.00833;0.01702;0.04874;0.03583;0.04004;0.01792;0.01751;-1.00000;0.00000;0.00210
13;6499;1625;22;2;0.00000;0.00014;2315.00000;0.00028;0.00014;0.00001;797.00000;8124.00000;0.00775;0.01586;0.04813;0.03535;0.03946;0.01673;0.01646;-1.00000;0.00000;0.00168
14;6499;1625;22;2;0.00000;0.00020;2328.00000;0.00039;0.00014;0.00001;805.00000;8124.00000;0.00806;0.01648;0.04767;0.03499;0.03908;0.01737;0.01708;-1.00000;0.00000;0.00250
15;6499;1625;22;2;0.00000;0.00015;2332.00000;0.00031;0.00012;0.00001;803.00000;8124.00000;0.00775;0.01587;0.04776;0.03506;0.03914;0.01674;0.01649;-1.00000;0.00000;0.00171
16;6499;1625;22;2;0.00000;0.00023;2334.00000;0.00044;0.00022;0.00001;795.00000;8124.00000;0.00829;0.01693;0.04825;0.03544;0.03961;0.01782;0.01738;-1.00000;0.00000;0.00291
17;6499;1625;22;2;0.00000;0.00017;2316.00000;0.00032;0.00022;0.00002;787.00000;8124.00000;0.00794;0.01624;0.04899;0.03609;0.04027;0.01712;0.01669;-1.00000;0.00000;0.00251
18;6499;1625;22;2;0.00000;0.00021;2331.00000;0.00041;0.00021;0.00001;802.00000;8124.00000;0.00816;0.01668;0.04789;0.03517;0.03929;0.01758;0.01715;-1.00000;0.00000;0.00296
19;6499;1625;22;2;0.00000;0.00025;2325.00000;0.00047;0.00026;0.00002;799.00000;8124.00000;0.00843;0.01721;0.04840;0.03564;0.03980;0.01812;0.01760;-1.00000;0.00000;0.00461
20;6499;1625;22;2;0.00000;0.00014;2317.00000;0.00026;0.00013;0.00000;800.00000;8124.00000;0.00770;0.01577;0.04784;0.03510;0.03919;0.01664;0.01639;-1.00000;0.00000;0.00246
21;6499;1625;22;2;0.00000;0.00016;2324.00000;0.00030;0.00015;0.00000;798.00000;8124.00000;0.00783;0.01603;0.04799;0.03522;0.03933;0.01691;0.01660;-1.00000;0.00000;0.00169
22;6499;1625;22;2;0.00000;0.00019;2348.00000;0.00035;0.00017;0.00001;811.00000;8124.00000;0.00795;0.01626;0.04741;0.03480;0.03886;0.01714;0.01679;-1.00000;0.00000;0.00334
23;6499;1625;22;2;0.00000;0.00020;2314.00000;0.00039;0.00022;0.00001;800.00000;8124.00000;0.00813;0.01662;0.04793;0.03519;0.03931;0.01752;0.01708;-1.00000;0.00000;0.00464
24;6499;1625;22;2;0.00000;0.00023;2329.00000;0.00043;0.00020;0.00001;787.00000;8124.00000;0.00824;0.01684;0.04874;0.03583;0.04003;0.01774;0.01733;-1.00000;0.00000;0.00292
25;6499;1625;22;2;0.00000;0.00020;2322.00000;0.00037;0.00016;0.00000;793.00000;8124.00000;0.00809;0.01653;0.04825;0.03542;0.03957;0.01742;0.01711;-1.00000;0.00000;0.00296
26;6499;1625;22;2;0.00000;0.00020;2335.00000;0.00037;0.00019;0.00001;791.00000;8124.00000;0.00804;0.01644;0.04856;0.03570;0.03987;0.01733;0.01694;-1.00000;0.00000;0.00254
27;6499;1625;22;2;0.00000;0.00010;2328.00000;0.00019;0.00010;0.00001;788.00000;8124.00000;0.00738;0.01512;0.04857;0.03569;0.03981;0.01598;0.01578;-1.00000;0.00000;0.00166
28;6499;1625;22;2;0.00000;0.00018;2327.00000;0.00035;0.00018;0.00000;778.00000;8124.00000;0.00799;0.01634;0.04909;0.03607;0.04030;0.01722;0.01687;-1.00000;0.00000;0.00211
29;6499;1625;22;2;0.00000;0.00016;2305.00000;0.00030;0.00019;0.00001;798.00000;8124.00000;0.00791;0.01618;0.04803;0.03527;0.03938;0.01707;0.01669;-1.00000;0.00000;0.00206
30;6499;1625;22;2;0.00000;0.00023;2330.00000;0.00046;0.00021;0.00001;808.00000;8124.00000;0.00829;0.01694;0.04757;0.03492;0.03902;0.01783;0.01741;-1.00000;0.00000;0.00251
31;6499;1625;22;2;0.00000;0.00016;2326.00000;0.00031;0.00019;0.00000;796.00000;8124.00000;0.00785;0.01606;0.04810;0.03531;0.03943;0.01694;0.01656;-1.00000;0.00000;0.00209
32;6499;1625;22;2;0.00000;0.00028;2319.00000;0.00051;0.00028;0.00001;796.00000;8124.00000;0.00858;0.01751;0.04837;0.03557;0.03976;0.01842;0.01786;-1.00000;0.00000;0.00210
33;6499;1625;22;2;0.00000;0.00011;2325.00000;0.00022;0.00009;0.00000;800.00000;8124.00000;0.00751;0.01538;0.04782;0.03509;0.03916;0.01625;0.01606;-1.00000;0.00000;0.00167
34;6499;1625;22;2;0.00000;0.00025;2331.00000;0.00050;0.00022;0.00001;808.00000;8124.00000;0.00839;0.01713;0.04762;0.03496;0.03907;0.01803;0.01759;-1.00000;0.00000;0.00457
35;6499;1625;22;2;0.00000;0.00018;2332.00000;0.00033;0.00016;0.00001;796.00000;8124.00000;0.00792;0.01620;0.04820;0.03541;0.03954;0.01708;0.01675;-1.00000;0.00000;0.00289
36;6499;1625;22;2;0.00000;0.00024;2333.00000;0.00045;0.00021;0.00002;789.00000;8124.00000;0.00834;0.01703;0.04884;0.03595;0.04016;0.01793;0.01751;-1.00000;0.00000;0.00384
37;6499;1625;22;2;0.00000;0.00031;2329.00000;0.00056;0.00032;0.00003;790.00000;8124.00000;0.00874;0.01784;0.04902;0.03614;0.04038;0.01876;0.01813;-1.00000;0.00000;0.00298
38;6499;1625;22;2;0.00000;0.00015;2329.00000;0.00029;0.00016;0.00001;802.00000;8124.00000;0.00773;0.01583;0.04781;0.03510;0.03918;0.01670;0.01639;-1.00000;0.00000;0.00168
39;6499;1625;22;2;0.00000;0.00018;2324.00000;0.00034;0.00019;0.00001;800.00000;8124.00000;0.00800;0.01635;0.04817;0.03542;0.03954;0.01724;0.01686;-1.00000;0.00000;0.00293
40;6499;1625;22;2;0.00000;0.00022;2331.00000;0.00042;0.00022;0.00001;788.00000;8124.00000;0.00822;0.01680;0.04876;0.03587;0.04006;0.01769;0.01725;-1.00000;0.00000;0.00337
41;6499;1625;22;2;0.00000;0.00017;2331.00000;0.00033;0.00015;0.00000;809.00000;8124.00000;0.00787;0.01610;0.04739;0.03476;0.03881;0.01698;0.01668;-1.00000;0.00000;0.00295
42;6499;1625;22;2;0.00000;0.00009;2346.00000;0.00017;0.00008;0.00000;794.00000;8124.00000;0.00730;0.01495;0.04811;0.03531;0.03939;0.01580;0.01564;-1.00000;0.00000;0.00249
43;6499;1625;22;2;0.00000;0.00021;2331.00000;0.00040;0.00032;0.00002;800.00000;8124.00000;0.00817;0.01670;0.04821;0.03546;0.03960;0.01759;0.01694;-1.00000;0.00000;0.00171
44;6499;1625;22;2;0.00000;0.00008;2317.00000;0.00014;0.00006;0.00000;791.00000;8124.00000;0.00729;0.01493;0.04834;0.03550;0.03960;0.01579;0.01566;-1.00000;0.00000;0.00254
45;6499;1625;22;2;0.00000;0.00020;2323.00000;0.00040;0.00023;0.00001;782.00000;8124.00000;0.00811;0.01657;0.04902;0.03605;0.04027;0.01746;0.01700;-1.00000;0.00000;0.00252
46;6499;1625;22;2;0.00000;0.00017;2331.00000;0.00033;0.00015;0.00001;800.00000;8124.00000;0.00787;0.01610;0.04793;0.03518;0.03929;0.01698;0.01667;-1.00000;0.00000;0.00171
47;6499;1625;22;2;0.00000;0.00013;2327.00000;0.00026;0.00013;0.00000;803.00000;8124.00000;0.00765;0.01567;0.04775;0.03505;0.03912;0.01654;0.01628;-1.00000;0.00000;0.00169
48;6499;1625;22;2;0.00000;0.00019;2337.00000;0.00037;0.00019;0.00000;808.00000;8124.00000;0.00801;0.01638;0.04748;0.03484;0.03891;0.01726;0.01688;-1.00000;0.00000;0.00293
49;6499;1625;22;2;0.00000;0.00020;2324.00000;0.00041;0.00021;0.00001;790.00000;8124.00000;0.00813;0.01662;0.04855;0.03568;0.03986;0.01751;0.01709;-1.00000;0.00000;0.00250
50;6499;1625;22;2;0.00000;0.00018;2332.00000;0.00033;0.00015;0.00000;795.00000;8124.00000;0.00792;0.01619;0.04817;0.03536;0.03949;0.01707;0.01677;-1.00000;0.00000;0.00287
