repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;8793;2199;16;10;0.01137;0.07612;5276.00000;0.11806;0.08894;0.02248;3109.00000;10992.00000;0.18311;-1.00000;-1.00000;0.13815;0.20553;-1.00000;-1.00000;-1.00000;0.06322;0.08766
2;8793;2199;16;10;0.00955;0.07792;5249.00000;0.12177;0.08913;0.02269;3115.00000;10992.00000;0.18709;-1.00000;-1.00000;0.13916;0.20925;-1.00000;-1.00000;-1.00000;0.05973;0.09650
3;8793;2199;16;10;0.01046;0.07839;5270.00000;0.12188;0.09102;0.02274;3130.00000;10992.00000;0.18805;-1.00000;-1.00000;0.13926;0.20993;-1.00000;-1.00000;-1.00000;0.06464;0.09142
4;8793;2199;16;10;0.00682;0.07863;5288.00000;0.12238;0.09020;0.02284;3121.00000;10992.00000;0.18853;-1.00000;-1.00000;0.13980;0.21095;-1.00000;-1.00000;-1.00000;0.06574;0.09337
5;8793;2199;16;10;0.00819;0.07900;5264.00000;0.12350;0.08980;0.02295;3113.00000;10992.00000;0.18940;-1.00000;-1.00000;0.14043;0.21235;-1.00000;-1.00000;-1.00000;0.06716;0.10538
6;8793;2199;16;10;0.01046;0.07871;5278.00000;0.12194;0.09072;0.02345;3140.00000;10992.00000;0.18873;-1.00000;-1.00000;0.14266;0.21470;-1.00000;-1.00000;-1.00000;0.06331;0.09639
7;8793;2199;16;10;0.01137;0.07702;5285.00000;0.11997;0.08905;0.02261;3115.00000;10992.00000;0.18504;-1.00000;-1.00000;0.13876;0.20746;-1.00000;-1.00000;-1.00000;0.06018;0.09162
8;8793;2199;16;10;0.00955;0.07875;5244.00000;0.12258;0.09076;0.02282;3112.00000;10992.00000;0.18890;-1.00000;-1.00000;0.13979;0.21121;-1.00000;-1.00000;-1.00000;0.06079;0.09806
9;8793;2199;16;10;0.01273;0.07746;5287.00000;0.12106;0.09032;0.02223;3144.00000;10992.00000;0.18598;-1.00000;-1.00000;0.13663;0.20518;-1.00000;-1.00000;-1.00000;0.06303;0.09636
10;8793;2199;16;10;0.01091;0.07764;5258.00000;0.12056;0.09050;0.02291;3111.00000;10992.00000;0.18646;-1.00000;-1.00000;0.14024;0.21028;-1.00000;-1.00000;-1.00000;0.06027;0.09734
11;8793;2199;16;10;0.01273;0.07806;5269.00000;0.12115;0.09007;0.02307;3121.00000;10992.00000;0.18734;-1.00000;-1.00000;0.14092;0.21166;-1.00000;-1.00000;-1.00000;0.06684;0.09174
12;8793;2199;16;10;0.00955;0.07687;5284.00000;0.11945;0.08830;0.02257;3139.00000;10992.00000;0.18471;-1.00000;-1.00000;0.13835;0.20665;-1.00000;-1.00000;-1.00000;0.06226;0.09118
13;8793;2199;16;10;0.01228;0.07615;5263.00000;0.11864;0.08847;0.02221;3145.00000;10992.00000;0.18322;-1.00000;-1.00000;0.13654;0.20340;-1.00000;-1.00000;-1.00000;0.06520;0.08900
14;8793;2199;16;10;0.00773;0.07825;5280.00000;0.12132;0.08902;0.02293;3123.00000;10992.00000;0.18771;-1.00000;-1.00000;0.14023;0.21099;-1.00000;-1.00000;-1.00000;0.06326;0.09607
15;8793;2199;16;10;0.00728;0.07946;5273.00000;0.12345;0.09054;0.02363;3119.00000;10992.00000;0.19037;-1.00000;-1.00000;0.14366;0.21714;-1.00000;-1.00000;-1.00000;0.06521;0.09200
16;8793;2199;16;10;0.01046;0.07876;5268.00000;0.12279;0.09068;0.02278;3123.00000;10992.00000;0.18886;-1.00000;-1.00000;0.13950;0.21076;-1.00000;-1.00000;-1.00000;0.05986;0.09607
17;8793;2199;16;10;0.00910;0.07843;5282.00000;0.12186;0.08918;0.02276;3114.00000;10992.00000;0.18810;-1.00000;-1.00000;0.13948;0.21030;-1.00000;-1.00000;-1.00000;0.06624;0.09569
18;8793;2199;16;10;0.01137;0.07908;5273.00000;0.12334;0.08950;0.02321;3128.00000;10992.00000;0.18955;-1.00000;-1.00000;0.14159;0.21389;-1.00000;-1.00000;-1.00000;0.06652;0.09855
19;8793;2199;16;10;0.01273;0.07760;5275.00000;0.12037;0.08858;0.02264;3138.00000;10992.00000;0.18633;-1.00000;-1.00000;0.13871;0.20811;-1.00000;-1.00000;-1.00000;0.06466;0.09135
20;8793;2199;16;10;0.01046;0.07863;5265.00000;0.12231;0.09063;0.02311;3130.00000;10992.00000;0.18859;-1.00000;-1.00000;0.14106;0.21260;-1.00000;-1.00000;-1.00000;0.06576;0.09089
21;8793;2199;16;10;0.01137;0.07728;5284.00000;0.12080;0.08974;0.02230;3135.00000;10992.00000;0.18561;-1.00000;-1.00000;0.13708;0.20557;-1.00000;-1.00000;-1.00000;0.05943;0.09241
22;8793;2199;16;10;0.01137;0.07739;5295.00000;0.11962;0.08876;0.02299;3151.00000;10992.00000;0.18582;-1.00000;-1.00000;0.14032;0.20982;-1.00000;-1.00000;-1.00000;0.06305;0.09340
23;8793;2199;16;10;0.01137;0.07869;5286.00000;0.12199;0.09120;0.02336;3121.00000;10992.00000;0.18865;-1.00000;-1.00000;0.14234;0.21432;-1.00000;-1.00000;-1.00000;0.06605;0.09905
24;8793;2199;16;10;0.00728;0.07835;5282.00000;0.12196;0.08937;0.02276;3108.00000;10992.00000;0.18793;-1.00000;-1.00000;0.13955;0.21031;-1.00000;-1.00000;-1.00000;0.06264;0.09379
25;8793;2199;16;10;0.01000;0.07839;5269.00000;0.12228;0.08891;0.02294;3132.00000;10992.00000;0.18806;-1.00000;-1.00000;0.14022;0.21116;-1.00000;-1.00000;-1.00000;0.06516;0.09260
26;8793;2199;16;10;0.00864;0.07989;5283.00000;0.12499;0.09091;0.02320;3132.00000;10992.00000;0.19126;-1.00000;-1.00000;0.14149;0.21485;-1.00000;-1.00000;-1.00000;0.06667;0.09813
27;8793;2199;16;10;0.01182;0.07939;5263.00000;0.12310;0.08970;0.02364;3100.00000;10992.00000;0.19024;-1.00000;-1.00000;0.14387;0.21740;-1.00000;-1.00000;-1.00000;0.06488;0.09712
28;8793;2199;16;10;0.01046;0.07851;5274.00000;0.12162;0.08912;0.02342;3118.00000;10992.00000;0.18831;-1.00000;-1.00000;0.14266;0.21452;-1.00000;-1.00000;-1.00000;0.06491;0.09520
29;8793;2199;16;10;0.01046;0.07726;5287.00000;0.12060;0.08994;0.02227;3137.00000;10992.00000;0.18555;-1.00000;-1.00000;0.13688;0.20527;-1.00000;-1.00000;-1.00000;0.06141;0.09306
30;8793;2199;16;10;0.01091;0.07768;5293.00000;0.12045;0.09015;0.02310;3144.00000;10992.00000;0.18645;-1.00000;-1.00000;0.14087;0.21096;-1.00000;-1.00000;-1.00000;0.06371;0.09282
31;8793;2199;16;10;0.01228;0.07769;5274.00000;0.12164;0.08993;0.02246;3130.00000;10992.00000;0.18653;-1.00000;-1.00000;0.13789;0.20720;-1.00000;-1.00000;-1.00000;0.06144;0.09227
32;8793;2199;16;10;0.01228;0.07821;5281.00000;0.12187;0.09043;0.02256;3138.00000;10992.00000;0.18763;-1.00000;-1.00000;0.13830;0.20837;-1.00000;-1.00000;-1.00000;0.06633;0.09519
33;8793;2199;16;10;0.00819;0.07885;5261.00000;0.12309;0.09057;0.02283;3124.00000;10992.00000;0.18908;-1.00000;-1.00000;0.13976;0.21124;-1.00000;-1.00000;-1.00000;0.06610;0.09858
34;8793;2199;16;10;0.01091;0.07768;5283.00000;0.12121;0.08956;0.02266;3135.00000;10992.00000;0.18648;-1.00000;-1.00000;0.13881;0.20834;-1.00000;-1.00000;-1.00000;0.06369;0.09150
35;8793;2199;16;10;0.01273;0.07844;5296.00000;0.12218;0.09045;0.02316;3123.00000;10992.00000;0.18808;-1.00000;-1.00000;0.14135;0.21267;-1.00000;-1.00000;-1.00000;0.06329;0.10054
36;8793;2199;16;10;0.01273;0.07719;5269.00000;0.12033;0.08910;0.02256;3130.00000;10992.00000;0.18545;-1.00000;-1.00000;0.13836;0.20715;-1.00000;-1.00000;-1.00000;0.05941;0.09308
37;8793;2199;16;10;0.01228;0.07780;5283.00000;0.12088;0.08989;0.02301;3135.00000;10992.00000;0.18674;-1.00000;-1.00000;0.14054;0.21075;-1.00000;-1.00000;-1.00000;0.06025;0.09118
38;8793;2199;16;10;0.01137;0.07756;5284.00000;0.12114;0.08963;0.02259;3146.00000;10992.00000;0.18621;-1.00000;-1.00000;0.13841;0.20762;-1.00000;-1.00000;-1.00000;0.06453;0.09909
39;8793;2199;16;10;0.01000;0.07834;5286.00000;0.12098;0.08851;0.02335;3144.00000;10992.00000;0.18790;-1.00000;-1.00000;0.14210;0.21345;-1.00000;-1.00000;-1.00000;0.06548;0.09852
40;8793;2199;16;10;0.01137;0.07849;5274.00000;0.12255;0.09012;0.02267;3120.00000;10992.00000;0.18825;-1.00000;-1.00000;0.13898;0.20972;-1.00000;-1.00000;-1.00000;0.06678;0.09769
41;8793;2199;16;10;0.01046;0.07770;5297.00000;0.12111;0.08948;0.02294;3121.00000;10992.00000;0.18649;-1.00000;-1.00000;0.14029;0.21031;-1.00000;-1.00000;-1.00000;0.06509;0.09002
42;8793;2199;16;10;0.00955;0.07865;5261.00000;0.12233;0.08923;0.02315;3118.00000;10992.00000;0.18865;-1.00000;-1.00000;0.14134;0.21304;-1.00000;-1.00000;-1.00000;0.06426;0.09241
43;8793;2199;16;10;0.00728;0.07996;5271.00000;0.12417;0.08956;0.02382;3132.00000;10992.00000;0.19145;-1.00000;-1.00000;0.14449;0.21887;-1.00000;-1.00000;-1.00000;0.06478;0.09884
44;8793;2199;16;10;0.01228;0.07736;5262.00000;0.12050;0.08908;0.02235;3131.00000;10992.00000;0.18584;-1.00000;-1.00000;0.13734;0.20606;-1.00000;-1.00000;-1.00000;0.06399;0.09539
45;8793;2199;16;10;0.01319;0.07835;5284.00000;0.12136;0.08863;0.02315;3130.00000;10992.00000;0.18792;-1.00000;-1.00000;0.14124;0.21241;-1.00000;-1.00000;-1.00000;0.06154;0.09766
46;8793;2199;16;10;0.00910;0.07878;5286.00000;0.12280;0.08918;0.02303;3128.00000;10992.00000;0.18885;-1.00000;-1.00000;0.14070;0.21230;-1.00000;-1.00000;-1.00000;0.05775;0.09263
47;8793;2199;16;10;0.01046;0.07901;5283.00000;0.12284;0.09082;0.02325;3133.00000;10992.00000;0.18936;-1.00000;-1.00000;0.14172;0.21393;-1.00000;-1.00000;-1.00000;0.05989;0.09600
48;8793;2199;16;10;0.01091;0.07812;5292.00000;0.12087;0.08927;0.02333;3140.00000;10992.00000;0.18741;-1.00000;-1.00000;0.14205;0.21309;-1.00000;-1.00000;-1.00000;0.06058;0.09929
49;8793;2199;16;10;0.00864;0.07771;5263.00000;0.12143;0.08894;0.02240;3115.00000;10992.00000;0.18660;-1.00000;-1.00000;0.13773;0.20710;-1.00000;-1.00000;-1.00000;0.06310;0.09047
