repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;8844;2211;68;2;0.02714;0.06521;5301.00000;0.08118;0.06452;0.02456;3147.00000;11055.00000;0.15926;0.19180;0.15933;0.14796;0.20375;0.19574;0.19210;-1.00000;0.05089;0.07763
2;8844;2211;68;2;0.03754;0.06438;5308.00000;0.07991;0.06498;0.02444;3143.00000;11055.00000;0.15741;0.19033;0.15876;0.14740;0.20208;0.19428;0.18746;-1.00000;0.04823;0.07901
3;8844;2211;68;2;0.02533;0.06517;5312.00000;0.08027;0.06451;0.02473;3134.00000;11055.00000;0.15915;0.19312;0.16030;0.14888;0.20481;0.19717;0.19187;-1.00000;0.05514;0.08291
4;8844;2211;68;2;0.03121;0.06406;5323.00000;0.07899;0.06324;0.02475;3152.00000;11055.00000;0.15669;0.19040;0.16024;0.14885;0.20336;0.19440;0.18948;-1.00000;0.05266;0.07651
5;8844;2211;68;2;0.02985;0.06416;5296.00000;0.07926;0.06324;0.02449;3145.00000;11055.00000;0.15697;0.19055;0.15901;0.14765;0.20212;0.19455;0.19006;-1.00000;0.05110;0.08104
6;8844;2211;68;2;0.03256;0.06332;5308.00000;0.07808;0.06360;0.02434;3143.00000;11055.00000;0.15510;0.18888;0.15825;0.14692;0.20025;0.19288;0.18558;-1.00000;0.05256;0.07634
7;8844;2211;68;2;0.03121;0.06440;5311.00000;0.08089;0.06421;0.02415;3156.00000;11055.00000;0.15746;0.18876;0.15716;0.14588;0.20025;0.19259;0.18910;-1.00000;0.05058;0.07803
8;8844;2211;68;2;0.03030;0.06448;5306.00000;0.07958;0.06336;0.02471;3131.00000;11055.00000;0.15764;0.19136;0.16026;0.14884;0.20395;0.19538;0.19116;-1.00000;0.05219;0.08046
9;8844;2211;68;2;0.03573;0.06197;5291.00000;0.07661;0.06186;0.02368;3147.00000;11055.00000;0.15218;0.18565;0.15490;0.14368;0.19487;0.18959;0.18321;-1.00000;0.04427;0.08490
10;8844;2211;68;2;0.02759;0.06491;5296.00000;0.07984;0.06356;0.02477;3108.00000;11055.00000;0.15861;0.19291;0.16078;0.14931;0.20511;0.19699;0.19272;-1.00000;0.05181;0.07845
11;8844;2211;68;2;0.02307;0.06496;5308.00000;0.08056;0.06361;0.02454;3157.00000;11055.00000;0.15870;0.19168;0.15911;0.14776;0.20316;0.19564;0.19277;-1.00000;0.05271;0.07590
12;8844;2211;68;2;0.03030;0.06540;5310.00000;0.08098;0.06452;0.02497;3148.00000;11055.00000;0.15965;0.19286;0.16137;0.14994;0.20630;0.19685;0.19286;-1.00000;0.05382;0.08789
