repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;2471;618;4;2;0.02913;0.04888;1462.00000;0.05127;0.04328;0.02356;850.00000;3089.00000;0.14705;0.23200;0.21307;0.19440;0.27270;0.24570;0.21270;-1.00000;0.03430;0.06791
2;2471;618;4;2;0.03560;0.04832;1478.00000;0.05224;0.04409;0.02223;858.00000;3089.00000;0.14544;0.22779;0.20533;0.18648;0.26160;0.24086;0.20779;-1.00000;0.03367;0.06292
3;2471;618;4;2;0.02589;0.04873;1469.00000;0.05168;0.04373;0.02290;859.00000;3089.00000;0.14658;0.23050;0.20884;0.19012;0.26689;0.24395;0.21081;-1.00000;0.03499;0.07023
4;2471;618;4;2;0.02913;0.04726;1476.00000;0.05031;0.04348;0.02203;852.00000;3089.00000;0.14291;0.22559;0.20445;0.18573;0.25901;0.23866;0.20392;-1.00000;0.03304;0.06588
5;2471;618;4;2;0.01942;0.04769;1465.00000;0.05076;0.04220;0.02198;859.00000;3089.00000;0.14414;0.22718;0.20373;0.18503;0.25886;0.24037;0.20898;-1.00000;0.03638;0.06362
6;2471;618;4;2;0.03236;0.04994;1475.00000;0.05277;0.04350;0.02403;855.00000;3089.00000;0.14938;0.23434;0.21540;0.19666;0.27709;0.24810;0.21692;-1.00000;0.03723;0.07204
7;2471;618;4;2;0.02913;0.04837;1470.00000;0.05165;0.04369;0.02259;857.00000;3089.00000;0.14569;0.22897;0.20733;0.18857;0.26438;0.24226;0.20912;-1.00000;0.03489;0.06314
8;2471;618;4;2;0.03236;0.04696;1466.00000;0.05100;0.04215;0.02145;851.00000;3089.00000;0.14236;0.22380;0.20143;0.18258;0.25477;0.23660;0.20549;-1.00000;0.03439;0.06439
9;2471;618;4;2;0.03398;0.04650;1458.00000;0.04852;0.04142;0.02208;846.00000;3089.00000;0.14141;0.22509;0.20498;0.18641;0.25893;0.23835;0.20505;-1.00000;0.03395;0.05847
10;2471;618;4;2;0.03074;0.04706;1475.00000;0.04965;0.04195;0.02210;852.00000;3089.00000;0.14245;0.22554;0.20475;0.18611;0.25915;0.23868;0.20605;-1.00000;0.03533;0.06279
11;2471;618;4;2;0.02427;0.04841;1471.00000;0.05020;0.04439;0.02314;838.00000;3089.00000;0.14576;0.23114;0.21159;0.19288;0.27016;0.24488;0.20785;-1.00000;0.03733;0.06171
12;2471;618;4;2;0.03236;0.04601;1471.00000;0.04962;0.04317;0.02103;862.00000;3089.00000;0.13998;0.22093;0.19815;0.17951;0.24913;0.23354;0.19864;-1.00000;0.03196;0.06734
13;2471;618;4;2;0.02751;0.04917;1465.00000;0.05378;0.04404;0.02254;852.00000;3089.00000;0.14769;0.23013;0.20763;0.18859;0.26597;0.24331;0.21244;-1.00000;0.03414;0.06915
14;2471;618;4;2;0.03074;0.04808;1467.00000;0.04942;0.04290;0.02334;855.00000;3089.00000;0.14505;0.23047;0.21128;0.19285;0.26919;0.24420;0.20941;-1.00000;0.03728;0.06493
15;2471;618;4;2;0.03560;0.04733;1460.00000;0.05090;0.04375;0.02208;857.00000;3089.00000;0.14337;0.22566;0.20441;0.18568;0.25918;0.23868;0.20434;-1.00000;0.03167;0.06404
16;2471;618;4;2;0.02589;0.04876;1479.00000;0.05158;0.04276;0.02278;860.00000;3089.00000;0.14647;0.23041;0.20811;0.18941;0.26590;0.24384;0.21254;-1.00000;0.03962;0.06291
17;2471;618;4;2;0.02751;0.04985;1467.00000;0.05254;0.04498;0.02353;860.00000;3089.00000;0.14930;0.23439;0.21232;0.19359;0.27315;0.24818;0.21383;-1.00000;0.03490;0.06757
