repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;5148;1287;36;6;0.08625;0.16517;1846.00000;0.19460;0.12127;0.08065;628.00000;6435.00000;0.40056;-1.00000;-1.00000;0.50860;1.00000;-1.00000;-1.00000;-1.00000;0.14903;0.18487
2;5148;1287;36;6;0.07304;0.17002;1834.00000;0.20191;0.12216;0.08317;619.00000;6435.00000;0.41121;-1.00000;-1.00000;0.52223;1.00000;-1.00000;-1.00000;-1.00000;0.15100;0.19492
3;5148;1287;36;6;0.09557;0.16263;1835.00000;0.19632;0.12051;0.07744;601.00000;6435.00000;0.39530;-1.00000;-1.00000;0.49733;1.00000;-1.00000;-1.00000;-1.00000;0.14021;0.19343
4;5148;1287;36;6;0.09013;0.16426;1837.00000;0.19666;0.12229;0.07880;627.00000;6435.00000;0.39878;-1.00000;-1.00000;0.49981;1.00000;-1.00000;-1.00000;-1.00000;0.14262;0.18004
5;5148;1287;36;6;0.08159;0.16684;1840.00000;0.19795;0.12219;0.08124;627.00000;6435.00000;0.40426;-1.00000;-1.00000;0.51161;1.00000;-1.00000;-1.00000;-1.00000;0.14737;0.18922
6;5148;1287;36;6;0.08159;0.16796;1842.00000;0.19961;0.12201;0.08217;628.00000;6435.00000;0.40664;-1.00000;-1.00000;0.51599;1.00000;-1.00000;-1.00000;-1.00000;0.14486;0.18863
7;5148;1287;36;6;0.07615;0.16527;1841.00000;0.19682;0.12191;0.07985;613.00000;6435.00000;0.40087;-1.00000;-1.00000;0.50711;1.00000;-1.00000;-1.00000;-1.00000;0.14263;0.18268
8;5148;1287;36;6;0.07925;0.16885;1849.00000;0.20167;0.12380;0.08203;628.00000;6435.00000;0.40842;-1.00000;-1.00000;0.51529;1.00000;-1.00000;-1.00000;-1.00000;0.15158;0.18908
9;5148;1287;36;6;0.07848;0.16510;1830.00000;0.19565;0.12092;0.08018;617.00000;6435.00000;0.40072;-1.00000;-1.00000;0.50805;1.00000;-1.00000;-1.00000;-1.00000;0.14139;0.18644
10;5148;1287;36;6;0.08625;0.16898;1855.00000;0.20133;0.12215;0.08245;629.00000;6435.00000;0.40859;-1.00000;-1.00000;0.51717;1.00000;-1.00000;-1.00000;-1.00000;0.14741;0.18915
11;5148;1287;36;6;0.10334;0.16454;1834.00000;0.19604;0.12044;0.08037;618.00000;6435.00000;0.39943;-1.00000;-1.00000;0.50884;1.00000;-1.00000;-1.00000;-1.00000;0.14589;0.18842
12;5148;1287;36;6;0.09479;0.16748;1850.00000;0.20076;0.12281;0.08091;631.00000;6435.00000;0.40545;-1.00000;-1.00000;0.50942;1.00000;-1.00000;-1.00000;-1.00000;0.14430;0.18966
13;5148;1287;36;6;0.09557;0.16489;1827.00000;0.19520;0.12126;0.08051;628.00000;6435.00000;0.40033;-1.00000;-1.00000;0.50793;1.00000;-1.00000;-1.00000;-1.00000;0.14395;0.20610
14;5148;1287;36;6;0.08547;0.16627;1837.00000;0.19857;0.12395;0.08046;610.00000;6435.00000;0.40311;-1.00000;-1.00000;0.51054;1.00000;-1.00000;-1.00000;-1.00000;0.13822;0.19345
15;5148;1287;36;6;0.08159;0.16785;1835.00000;0.20127;0.12284;0.08073;631.00000;6435.00000;0.40653;-1.00000;-1.00000;0.50856;1.00000;-1.00000;-1.00000;-1.00000;0.14875;0.19212
16;5148;1287;36;6;0.08159;0.16630;1831.00000;0.19684;0.12093;0.08019;616.00000;6435.00000;0.40327;-1.00000;-1.00000;0.50826;1.00000;-1.00000;-1.00000;-1.00000;0.14749;0.18468
17;5148;1287;36;6;0.08003;0.16867;1838.00000;0.20212;0.12367;0.08165;617.00000;6435.00000;0.40824;-1.00000;-1.00000;0.51518;1.00000;-1.00000;-1.00000;-1.00000;0.14692;0.19374
