repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;46807;11702;48;11;0.00248;0.02938;28227.00000;0.05104;0.03628;0.00454;16937.00000;58509.00000;0.06759;-1.00000;-1.00000;0.02807;0.03260;-1.00000;-1.00000;-1.00000;0.01773;0.04808
2;46807;11702;48;11;0.00137;0.03022;28256.00000;0.05264;0.03743;0.00464;16967.00000;58509.00000;0.06939;-1.00000;-1.00000;0.02855;0.03328;-1.00000;-1.00000;-1.00000;0.01832;0.05176
3;46807;11702;48;11;0.00188;0.03030;28285.00000;0.05267;0.03730;0.00470;16968.00000;58509.00000;0.06955;-1.00000;-1.00000;0.02888;0.03367;-1.00000;-1.00000;-1.00000;0.01792;0.04653
4;46807;11702;48;11;0.00256;0.03009;28267.00000;0.05232;0.03713;0.00462;16966.00000;58509.00000;0.06911;-1.00000;-1.00000;0.02846;0.03316;-1.00000;-1.00000;-1.00000;0.02022;0.04647
5;46807;11702;48;11;0.00171;0.02993;28275.00000;0.05195;0.03695;0.00459;16966.00000;58509.00000;0.06876;-1.00000;-1.00000;0.02835;0.03300;-1.00000;-1.00000;-1.00000;0.01909;0.04621
6;46807;11702;48;11;0.00154;0.03079;28258.00000;0.05355;0.03826;0.00478;16980.00000;58509.00000;0.07061;-1.00000;-1.00000;0.02926;0.03419;-1.00000;-1.00000;-1.00000;0.01926;0.04984
7;46807;11702;48;11;0.00248;0.02974;28274.00000;0.05193;0.03692;0.00449;16994.00000;58509.00000;0.06836;-1.00000;-1.00000;0.02784;0.03240;-1.00000;-1.00000;-1.00000;0.01728;0.05064
8;46807;11702;48;11;0.00197;0.03069;28274.00000;0.05339;0.03789;0.00468;16913.00000;58509.00000;0.07038;-1.00000;-1.00000;0.02881;0.03366;-1.00000;-1.00000;-1.00000;0.01992;0.04682
9;46807;11702;48;11;0.00222;0.02984;28297.00000;0.05201;0.03677;0.00451;16993.00000;58509.00000;0.06858;-1.00000;-1.00000;0.02792;0.03251;-1.00000;-1.00000;-1.00000;0.01477;0.04804
10;46807;11702;48;11;0.00171;0.02960;28274.00000;0.05127;0.03673;0.00464;16971.00000;58509.00000;0.06805;-1.00000;-1.00000;0.02858;0.03322;-1.00000;-1.00000;-1.00000;0.01960;0.04777
11;46807;11702;48;11;0.00145;0.03033;28237.00000;0.05271;0.03739;0.00465;16966.00000;58509.00000;0.06963;-1.00000;-1.00000;0.02864;0.03340;-1.00000;-1.00000;-1.00000;0.01809;0.04903
12;46807;11702;48;11;0.00145;0.03002;28282.00000;0.05215;0.03687;0.00468;16934.00000;58509.00000;0.06896;-1.00000;-1.00000;0.02878;0.03351;-1.00000;-1.00000;-1.00000;0.01769;0.04873
13;46807;11702;48;11;0.00197;0.03010;28285.00000;0.05245;0.03680;0.00452;16955.00000;58509.00000;0.06912;-1.00000;-1.00000;0.02801;0.03265;-1.00000;-1.00000;-1.00000;0.01307;0.04979
14;46807;11702;48;11;0.00197;0.03021;28272.00000;0.05236;0.03751;0.00473;16971.00000;58509.00000;0.06935;-1.00000;-1.00000;0.02902;0.03381;-1.00000;-1.00000;-1.00000;0.01715;0.04667
15;46807;11702;48;11;0.00205;0.02974;28253.00000;0.05162;0.03687;0.00465;16983.00000;58509.00000;0.06836;-1.00000;-1.00000;0.02861;0.03328;-1.00000;-1.00000;-1.00000;0.02056;0.04297
16;46807;11702;48;11;0.00197;0.02941;28267.00000;0.05133;0.03629;0.00445;17002.00000;58509.00000;0.06764;-1.00000;-1.00000;0.02762;0.03210;-1.00000;-1.00000;-1.00000;0.01565;0.05823
17;46807;11702;48;11;0.00154;0.02936;28238.00000;0.05083;0.03615;0.00459;16976.00000;58509.00000;0.06755;-1.00000;-1.00000;0.02830;0.03286;-1.00000;-1.00000;-1.00000;0.01953;0.04339
18;46807;11702;48;11;0.00137;0.02886;28262.00000;0.05004;0.03574;0.00450;16958.00000;58509.00000;0.06648;-1.00000;-1.00000;0.02788;0.03231;-1.00000;-1.00000;-1.00000;0.01663;0.05221
19;46807;11702;48;11;0.00273;0.03011;28265.00000;0.05245;0.03745;0.00459;16975.00000;58509.00000;0.06915;-1.00000;-1.00000;0.02832;0.03301;-1.00000;-1.00000;-1.00000;0.01880;0.05221
20;46807;11702;48;11;0.00120;0.02941;28278.00000;0.05101;0.03625;0.00457;16987.00000;58509.00000;0.06765;-1.00000;-1.00000;0.02824;0.03281;-1.00000;-1.00000;-1.00000;0.01873;0.04540
21;46807;11702;48;11;0.00197;0.02936;28273.00000;0.05108;0.03633;0.00449;16962.00000;58509.00000;0.06755;-1.00000;-1.00000;0.02783;0.03233;-1.00000;-1.00000;-1.00000;0.01777;0.04449
22;46807;11702;48;11;0.00239;0.03070;28272.00000;0.05332;0.03798;0.00475;16983.00000;58509.00000;0.07041;-1.00000;-1.00000;0.02910;0.03398;-1.00000;-1.00000;-1.00000;0.01882;0.04956
23;46807;11702;48;11;0.00162;0.02936;28274.00000;0.05115;0.03615;0.00451;16982.00000;58509.00000;0.06754;-1.00000;-1.00000;0.02792;0.03244;-1.00000;-1.00000;-1.00000;0.01575;0.04437
24;46807;11702;48;11;0.00231;0.03036;28266.00000;0.05276;0.03759;0.00477;16982.00000;58509.00000;0.06969;-1.00000;-1.00000;0.02922;0.03407;-1.00000;-1.00000;-1.00000;0.01774;0.04966
25;46807;11702;48;11;0.00205;0.03020;28261.00000;0.05260;0.03759;0.00459;16988.00000;58509.00000;0.06934;-1.00000;-1.00000;0.02834;0.03304;-1.00000;-1.00000;-1.00000;0.01890;0.04585
26;46807;11702;48;11;0.00231;0.03095;28286.00000;0.05404;0.03818;0.00466;17001.00000;58509.00000;0.07094;-1.00000;-1.00000;0.02864;0.03350;-1.00000;-1.00000;-1.00000;0.01800;0.04753
27;46807;11702;48;11;0.00171;0.03100;28280.00000;0.05409;0.03853;0.00470;17007.00000;58509.00000;0.07106;-1.00000;-1.00000;0.02887;0.03377;-1.00000;-1.00000;-1.00000;0.01767;0.04815
28;46807;11702;48;11;0.00256;0.02956;28267.00000;0.05137;0.03628;0.00456;16957.00000;58509.00000;0.06798;-1.00000;-1.00000;0.02816;0.03274;-1.00000;-1.00000;-1.00000;0.01668;0.04817
29;46807;11702;48;11;0.00188;0.03012;28300.00000;0.05243;0.03737;0.00464;16977.00000;58509.00000;0.06916;-1.00000;-1.00000;0.02859;0.03332;-1.00000;-1.00000;-1.00000;0.01971;0.05043
30;46807;11702;48;11;0.00197;0.02954;28267.00000;0.05123;0.03626;0.00462;16966.00000;58509.00000;0.06792;-1.00000;-1.00000;0.02845;0.03306;-1.00000;-1.00000;-1.00000;0.01905;0.05220
31;46807;11702;48;11;0.00239;0.02974;28224.00000;0.05170;0.03688;0.00461;16994.00000;58509.00000;0.06836;-1.00000;-1.00000;0.02840;0.03303;-1.00000;-1.00000;-1.00000;0.01639;0.04958
32;46807;11702;48;11;0.00197;0.03029;28247.00000;0.05264;0.03755;0.00471;16982.00000;58509.00000;0.06953;-1.00000;-1.00000;0.02889;0.03368;-1.00000;-1.00000;-1.00000;0.01833;0.04760
33;46807;11702;48;11;0.00197;0.02980;28257.00000;0.05167;0.03663;0.00464;16981.00000;58509.00000;0.06848;-1.00000;-1.00000;0.02854;0.03321;-1.00000;-1.00000;-1.00000;0.01799;0.04990
34;46807;11702;48;11;0.00145;0.02982;28277.00000;0.05176;0.03662;0.00463;16974.00000;58509.00000;0.06853;-1.00000;-1.00000;0.02850;0.03316;-1.00000;-1.00000;-1.00000;0.01877;0.05106
35;46807;11702;48;11;0.00239;0.02923;28262.00000;0.05093;0.03608;0.00444;16956.00000;58509.00000;0.06727;-1.00000;-1.00000;0.02757;0.03202;-1.00000;-1.00000;-1.00000;0.01790;0.04264
36;46807;11702;48;11;0.00179;0.03102;28217.00000;0.05389;0.03822;0.00472;16919.00000;58509.00000;0.07109;-1.00000;-1.00000;0.02900;0.03393;-1.00000;-1.00000;-1.00000;0.02017;0.05961
