repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;46807;11702;48;11;0.00188;0.02175;17017.00000;0.03815;0.01979;0.00316;6094.00000;58509.00000;0.05340;-1.00000;-1.00000;0.02792;0.03205;-1.00000;-1.00000;-1.00000;0.01164;0.03920
2;46807;11702;48;11;0.00111;0.02179;17044.00000;0.03822;0.01979;0.00322;6136.00000;58509.00000;0.05348;-1.00000;-1.00000;0.02818;0.03234;-1.00000;-1.00000;-1.00000;0.01191;0.02956
3;46807;11702;48;11;0.00154;0.02172;17054.00000;0.03817;0.01986;0.00308;6112.00000;58509.00000;0.05332;-1.00000;-1.00000;0.02743;0.03150;-1.00000;-1.00000;-1.00000;0.01461;0.03709
4;46807;11702;48;11;0.00111;0.02108;17038.00000;0.03707;0.01918;0.00299;6129.00000;58509.00000;0.05191;-1.00000;-1.00000;0.02685;0.03075;-1.00000;-1.00000;-1.00000;0.01084;0.03873
5;46807;11702;48;11;0.00188;0.02253;17055.00000;0.03943;0.02065;0.00329;6098.00000;58509.00000;0.05510;-1.00000;-1.00000;0.02865;0.03299;-1.00000;-1.00000;-1.00000;0.01408;0.03755
6;46807;11702;48;11;0.00205;0.02218;17056.00000;0.03899;0.02040;0.00316;6093.00000;58509.00000;0.05433;-1.00000;-1.00000;0.02791;0.03211;-1.00000;-1.00000;-1.00000;0.01133;0.03382
7;46807;11702;48;11;0.00103;0.02212;17054.00000;0.03855;0.01973;0.00322;6112.00000;58509.00000;0.05420;-1.00000;-1.00000;0.02822;0.03244;-1.00000;-1.00000;-1.00000;0.01312;0.03415
8;46807;11702;48;11;0.00145;0.02184;17012.00000;0.03823;0.01995;0.00315;6104.00000;58509.00000;0.05361;-1.00000;-1.00000;0.02781;0.03194;-1.00000;-1.00000;-1.00000;0.01307;0.03395
9;46807;11702;48;11;0.00085;0.02190;17063.00000;0.03844;0.01963;0.00326;6118.00000;58509.00000;0.05371;-1.00000;-1.00000;0.02845;0.03266;-1.00000;-1.00000;-1.00000;0.01108;0.03620
10;46807;11702;48;11;0.00111;0.02171;17043.00000;0.03811;0.01973;0.00317;6120.00000;58509.00000;0.05331;-1.00000;-1.00000;0.02792;0.03205;-1.00000;-1.00000;-1.00000;0.01344;0.03579
11;46807;11702;48;11;0.00085;0.02183;17054.00000;0.03819;0.01970;0.00320;6117.00000;58509.00000;0.05356;-1.00000;-1.00000;0.02808;0.03225;-1.00000;-1.00000;-1.00000;0.01312;0.04634
12;46807;11702;48;11;0.00171;0.02177;17052.00000;0.03823;0.01957;0.00303;6121.00000;58509.00000;0.05344;-1.00000;-1.00000;0.02713;0.03117;-1.00000;-1.00000;-1.00000;0.01389;0.03389
13;46807;11702;48;11;0.00145;0.02189;17070.00000;0.03854;0.01979;0.00310;6101.00000;58509.00000;0.05369;-1.00000;-1.00000;0.02754;0.03165;-1.00000;-1.00000;-1.00000;0.01180;0.04001
14;46807;11702;48;11;0.00137;0.02174;17033.00000;0.03829;0.01989;0.00310;6116.00000;58509.00000;0.05337;-1.00000;-1.00000;0.02754;0.03162;-1.00000;-1.00000;-1.00000;0.01258;0.03516
15;46807;11702;48;11;0.00179;0.02164;17108.00000;0.03792;0.01964;0.00315;6127.00000;58509.00000;0.05313;-1.00000;-1.00000;0.02780;0.03190;-1.00000;-1.00000;-1.00000;0.01229;0.04024
16;46807;11702;48;11;0.00120;0.02270;17041.00000;0.03974;0.02037;0.00335;6110.00000;58509.00000;0.05550;-1.00000;-1.00000;0.02896;0.03338;-1.00000;-1.00000;-1.00000;0.01424;0.03700
17;46807;11702;48;11;0.00171;0.02198;17008.00000;0.03851;0.01997;0.00321;6106.00000;58509.00000;0.05391;-1.00000;-1.00000;0.02817;0.03238;-1.00000;-1.00000;-1.00000;0.01420;0.03500
18;46807;11702;48;11;0.00171;0.02140;17038.00000;0.03760;0.01934;0.00307;6111.00000;58509.00000;0.05262;-1.00000;-1.00000;0.02735;0.03136;-1.00000;-1.00000;-1.00000;0.01337;0.03565
19;46807;11702;48;11;0.00154;0.02222;17029.00000;0.03891;0.02009;0.00323;6104.00000;58509.00000;0.05444;-1.00000;-1.00000;0.02829;0.03254;-1.00000;-1.00000;-1.00000;0.01124;0.03598
20;46807;11702;48;11;0.00145;0.02231;17088.00000;0.03904;0.02033;0.00320;6117.00000;58509.00000;0.05461;-1.00000;-1.00000;0.02807;0.03231;-1.00000;-1.00000;-1.00000;0.01316;0.03483
21;46807;11702;48;11;0.00077;0.02206;17071.00000;0.03866;0.01999;0.00321;6096.00000;58509.00000;0.05408;-1.00000;-1.00000;0.02816;0.03237;-1.00000;-1.00000;-1.00000;0.01331;0.03616
22;46807;11702;48;11;0.00111;0.02220;17102.00000;0.03903;0.02010;0.00314;6121.00000;58509.00000;0.05437;-1.00000;-1.00000;0.02772;0.03190;-1.00000;-1.00000;-1.00000;0.01159;0.04512
23;46807;11702;48;11;0.00197;0.02227;17056.00000;0.03898;0.02036;0.00324;6134.00000;58509.00000;0.05453;-1.00000;-1.00000;0.02833;0.03259;-1.00000;-1.00000;-1.00000;0.01419;0.03670
