repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;46400;11600;9;7;0.00034;0.00070;16875.00000;0.00101;0.00057;0.00024;6061.00000;58000.00000;0.00382;-1.00000;-1.00000;0.00831;0.00889;-1.00000;-1.00000;-1.00000;0.00012;0.00129
2;46400;11600;9;7;0.00026;0.00068;16914.00000;0.00101;0.00054;0.00022;6082.00000;58000.00000;0.00374;-1.00000;-1.00000;0.00811;0.00869;-1.00000;-1.00000;-1.00000;0.00012;0.00182
3;46400;11600;9;7;0.00000;0.00067;16897.00000;0.00095;0.00054;0.00023;6064.00000;58000.00000;0.00371;-1.00000;-1.00000;0.00828;0.00886;-1.00000;-1.00000;-1.00000;0.00018;0.00129
4;46400;11600;9;7;0.00034;0.00064;16907.00000;0.00091;0.00058;0.00021;6017.00000;58000.00000;0.00361;-1.00000;-1.00000;0.00807;0.00864;-1.00000;-1.00000;-1.00000;0.00012;0.00135
5;46400;11600;9;7;0.00009;0.00068;16878.00000;0.00098;0.00054;0.00022;6074.00000;58000.00000;0.00377;-1.00000;-1.00000;0.00814;0.00872;-1.00000;-1.00000;-1.00000;0.00018;0.00142
6;46400;11600;9;7;0.00000;0.00077;16888.00000;0.00100;0.00068;0.00029;6066.00000;58000.00000;0.00403;-1.00000;-1.00000;0.00884;0.00944;-1.00000;-1.00000;-1.00000;0.00018;0.00146
7;46400;11600;9;7;0.00026;0.00058;16900.00000;0.00082;0.00052;0.00018;6052.00000;58000.00000;0.00343;-1.00000;-1.00000;0.00769;0.00825;-1.00000;-1.00000;-1.00000;0.00012;0.00129
8;46400;11600;9;7;0.00009;0.00066;16928.00000;0.00096;0.00055;0.00021;6079.00000;58000.00000;0.00370;-1.00000;-1.00000;0.00799;0.00856;-1.00000;-1.00000;-1.00000;0.00018;0.00158
9;46400;11600;9;7;0.00017;0.00068;16898.00000;0.00094;0.00053;0.00024;6061.00000;58000.00000;0.00376;-1.00000;-1.00000;0.00837;0.00896;-1.00000;-1.00000;-1.00000;0.00023;0.00158
10;46400;11600;9;7;0.00043;0.00063;16867.00000;0.00095;0.00055;0.00017;6063.00000;58000.00000;0.00358;-1.00000;-1.00000;0.00765;0.00821;-1.00000;-1.00000;-1.00000;0.00012;0.00136
11;46400;11600;9;7;0.00009;0.00068;16891.00000;0.00097;0.00053;0.00023;6044.00000;58000.00000;0.00376;-1.00000;-1.00000;0.00821;0.00879;-1.00000;-1.00000;-1.00000;0.00006;0.00152
12;46400;11600;9;7;0.00009;0.00070;16902.00000;0.00100;0.00055;0.00024;6069.00000;58000.00000;0.00381;-1.00000;-1.00000;0.00833;0.00891;-1.00000;-1.00000;-1.00000;0.00012;0.00129
13;46400;11600;9;7;0.00000;0.00073;16888.00000;0.00099;0.00060;0.00025;6053.00000;58000.00000;0.00390;-1.00000;-1.00000;0.00844;0.00903;-1.00000;-1.00000;-1.00000;0.00000;0.00164
14;46400;11600;9;7;0.00017;0.00069;16867.00000;0.00098;0.00055;0.00024;6044.00000;58000.00000;0.00380;-1.00000;-1.00000;0.00831;0.00889;-1.00000;-1.00000;-1.00000;0.00018;0.00152
15;46400;11600;9;7;0.00026;0.00070;16921.00000;0.00101;0.00053;0.00023;6074.00000;58000.00000;0.00381;-1.00000;-1.00000;0.00821;0.00879;-1.00000;-1.00000;-1.00000;0.00017;0.00145
16;46400;11600;9;7;0.00000;0.00070;16875.00000;0.00098;0.00058;0.00023;6015.00000;58000.00000;0.00382;-1.00000;-1.00000;0.00826;0.00885;-1.00000;-1.00000;-1.00000;0.00023;0.00148
17;46400;11600;9;7;0.00009;0.00073;16895.00000;0.00104;0.00051;0.00023;6057.00000;58000.00000;0.00390;-1.00000;-1.00000;0.00826;0.00885;-1.00000;-1.00000;-1.00000;0.00000;0.00164
