repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;2540;635;60;2;0.03150;0.20000;1513.00000;0.28445;0.21643;0.05784;880.00000;3175.00000;0.48258;0.50898;0.39736;0.36894;1.00000;0.51861;0.54025;-1.00000;0.12147;0.28050
2;2540;635;60;2;0.03780;0.20014;1519.00000;0.28501;0.21721;0.05767;886.00000;3175.00000;0.48272;0.50799;0.39589;0.36759;1.00000;0.51749;0.53897;-1.00000;0.13733;0.27915
3;2540;635;60;2;0.04094;0.19723;1501.00000;0.28142;0.21225;0.05681;874.00000;3175.00000;0.47699;0.50375;0.39272;0.36436;1.00000;0.51340;0.53746;-1.00000;0.12785;0.28847
4;2540;635;60;2;0.03307;0.19252;1517.00000;0.27616;0.20951;0.05444;874.00000;3175.00000;0.46649;0.49255;0.38069;0.35269;1.00000;0.50201;0.52184;-1.00000;0.13221;0.28925
5;2540;635;60;2;0.02047;0.19915;1508.00000;0.28397;0.21421;0.05741;880.00000;3175.00000;0.48090;0.50658;0.39516;0.36680;1.00000;0.51614;0.54134;-1.00000;0.10385;0.29649
6;2540;635;60;2;0.02835;0.19839;1514.00000;0.28283;0.21519;0.05708;875.00000;3175.00000;0.47911;0.50535;0.39400;0.36561;1.00000;0.51495;0.53578;-1.00000;0.12426;0.26101
7;2540;635;60;2;0.04094;0.19655;1507.00000;0.28047;0.21288;0.05599;878.00000;3175.00000;0.47537;0.50203;0.38817;0.36000;1.00000;0.51164;0.53291;-1.00000;0.11010;0.27036
8;2540;635;60;2;0.04724;0.19187;1505.00000;0.27683;0.20918;0.05369;875.00000;3175.00000;0.46541;0.48931;0.37676;0.34888;1.00000;0.49859;0.52036;-1.00000;0.12033;0.25293
9;2540;635;60;2;0.02835;0.19769;1514.00000;0.28080;0.21290;0.05722;874.00000;3175.00000;0.47763;0.50597;0.39477;0.36635;1.00000;0.51578;0.53738;-1.00000;0.11711;0.28702
10;2540;635;60;2;0.03307;0.19564;1514.00000;0.27906;0.21471;0.05577;867.00000;3175.00000;0.47326;0.50093;0.38813;0.35981;1.00000;0.51063;0.52500;-1.00000;0.10318;0.27066
11;2540;635;60;2;0.02835;0.19170;1515.00000;0.27324;0.21044;0.05545;879.00000;3175.00000;0.46479;0.49393;0.38533;0.35725;1.00000;0.50369;0.51655;-1.00000;0.12687;0.26851
