repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;7438;1860;256;10;0.04301;0.17734;4459.00000;0.24779;0.18916;0.08008;2643.00000;9298.00000;0.40162;-1.00000;-1.00000;0.40927;0.95329;-1.00000;-1.00000;-1.00000;0.15942;0.19929
2;7438;1860;256;10;0.05108;0.17307;4459.00000;0.24274;0.18644;0.07716;2641.00000;9298.00000;0.39267;-1.00000;-1.00000;0.39626;0.90705;-1.00000;-1.00000;-1.00000;0.14767;0.19987
3;7438;1860;256;10;0.04731;0.17504;4472.00000;0.24559;0.18931;0.07748;2638.00000;9298.00000;0.39674;-1.00000;-1.00000;0.39777;0.92526;-1.00000;-1.00000;-1.00000;0.14983;0.19797
4;7438;1860;256;10;0.04355;0.17691;4456.00000;0.24656;0.18882;0.07999;2644.00000;9298.00000;0.40074;-1.00000;-1.00000;0.40886;0.94912;-1.00000;-1.00000;-1.00000;0.16175;0.20403
5;7438;1860;256;10;0.04892;0.17720;4451.00000;0.24791;0.18901;0.08011;2636.00000;9298.00000;0.40136;-1.00000;-1.00000;0.40954;0.95274;-1.00000;-1.00000;-1.00000;0.16113;0.19630
6;7438;1860;256;10;0.04946;0.17702;4466.00000;0.24869;0.18843;0.07892;2635.00000;9298.00000;0.40091;-1.00000;-1.00000;0.40425;0.94761;-1.00000;-1.00000;-1.00000;0.15531;0.20451
7;7438;1860;256;10;0.04892;0.17393;4471.00000;0.24264;0.18799;0.07786;2633.00000;9298.00000;0.39441;-1.00000;-1.00000;0.39954;0.91687;-1.00000;-1.00000;-1.00000;0.15350;0.19635
8;7438;1860;256;10;0.04462;0.17557;4443.00000;0.24501;0.18711;0.07928;2636.00000;9298.00000;0.39800;-1.00000;-1.00000;0.40581;0.93590;-1.00000;-1.00000;-1.00000;0.15862;0.19845
9;7438;1860;256;10;0.03763;0.17640;4468.00000;0.24618;0.18834;0.07930;2636.00000;9298.00000;0.39959;-1.00000;-1.00000;0.40593;0.94281;-1.00000;-1.00000;-1.00000;0.15906;0.19656
10;7438;1860;256;10;0.04409;0.17699;4459.00000;0.24716;0.18919;0.07976;2630.00000;9298.00000;0.40088;-1.00000;-1.00000;0.40804;0.95007;-1.00000;-1.00000;-1.00000;0.15924;0.19956
