repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;7438;1860;256;10;0.03763;0.15743;2678.00000;0.22143;0.12543;0.06937;916.00000;9298.00000;0.37242;-1.00000;-1.00000;0.42184;1.00000;-1.00000;-1.00000;-1.00000;0.13968;0.18463
2;7438;1860;256;10;0.04032;0.15643;2652.00000;0.22001;0.12528;0.06942;916.00000;9298.00000;0.37056;-1.00000;-1.00000;0.42207;1.00000;-1.00000;-1.00000;-1.00000;0.13794;0.17949
3;7438;1860;256;10;0.04032;0.15761;2666.00000;0.22248;0.12557;0.06892;920.00000;9298.00000;0.37293;-1.00000;-1.00000;0.41936;1.00000;-1.00000;-1.00000;-1.00000;0.13467;0.17716
4;7438;1860;256;10;0.03172;0.16043;2681.00000;0.22395;0.12752;0.07215;922.00000;9298.00000;0.37877;-1.00000;-1.00000;0.43463;1.00000;-1.00000;-1.00000;-1.00000;0.13054;0.17968
5;7438;1860;256;10;0.04516;0.15811;2682.00000;0.22222;0.12651;0.06970;927.00000;9298.00000;0.37382;-1.00000;-1.00000;0.42253;1.00000;-1.00000;-1.00000;-1.00000;0.13448;0.17909
6;7438;1860;256;10;0.04194;0.15584;2674.00000;0.21978;0.12569;0.06821;925.00000;9298.00000;0.36907;-1.00000;-1.00000;0.41552;1.00000;-1.00000;-1.00000;-1.00000;0.13217;0.18433
7;7438;1860;256;10;0.03280;0.15640;2678.00000;0.21887;0.12717;0.06938;912.00000;9298.00000;0.37021;-1.00000;-1.00000;0.42220;1.00000;-1.00000;-1.00000;-1.00000;0.13662;0.17634
8;7438;1860;256;10;0.04086;0.15760;2677.00000;0.22138;0.12508;0.06900;917.00000;9298.00000;0.37280;-1.00000;-1.00000;0.41999;1.00000;-1.00000;-1.00000;-1.00000;0.13062;0.17388
9;7438;1860;256;10;0.03978;0.15748;2670.00000;0.22136;0.12535;0.06988;916.00000;9298.00000;0.37260;-1.00000;-1.00000;0.42426;1.00000;-1.00000;-1.00000;-1.00000;0.13836;0.18208
10;7438;1860;256;10;0.04355;0.15708;2669.00000;0.22191;0.12485;0.06929;917.00000;9298.00000;0.37175;-1.00000;-1.00000;0.42138;1.00000;-1.00000;-1.00000;-1.00000;0.13788;0.17535
11;7438;1860;256;10;0.03548;0.15805;2660.00000;0.22208;0.12468;0.06978;905.00000;9298.00000;0.37392;-1.00000;-1.00000;0.42472;1.00000;-1.00000;-1.00000;-1.00000;0.14032;0.17754
12;7438;1860;256;10;0.04032;0.15634;2674.00000;0.21959;0.12628;0.06889;916.00000;9298.00000;0.37014;-1.00000;-1.00000;0.41954;1.00000;-1.00000;-1.00000;-1.00000;0.13465;0.18098
