repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;39799;9950;300;2;0.01065;0.01990;24016.00000;0.01953;0.01568;0.01017;14402.00000;49749.00000;0.04781;0.06532;0.05966;0.05601;0.06085;0.06629;0.06492;-1.00000;0.01670;0.02231
2;39799;9950;300;2;0.01156;0.01993;24013.00000;0.01981;0.01588;0.01006;14387.00000;49749.00000;0.04788;0.06498;0.05915;0.05551;0.06034;0.06594;0.06465;-1.00000;0.01728;0.02378
3;39799;9950;300;2;0.01045;0.02045;24032.00000;0.02024;0.01634;0.01035;14417.00000;49749.00000;0.04900;0.06645;0.06051;0.05683;0.06185;0.06743;0.06599;-1.00000;0.01751;0.02347
4;39799;9950;300;2;0.01015;0.02018;24004.00000;0.01976;0.01568;0.01034;14426.00000;49749.00000;0.04841;0.06610;0.06046;0.05680;0.06174;0.06709;0.06612;-1.00000;0.01764;0.02479
5;39799;9950;300;2;0.01236;0.01992;24044.00000;0.01980;0.01574;0.01002;14422.00000;49749.00000;0.04785;0.06492;0.05893;0.05529;0.06011;0.06589;0.06488;-1.00000;0.01773;0.02383
6;39799;9950;300;2;0.01055;0.01997;23995.00000;0.01937;0.01581;0.01035;14393.00000;49749.00000;0.04796;0.06589;0.06054;0.05688;0.06177;0.06688;0.06497;-1.00000;0.01716;0.02352
7;39799;9950;300;2;0.01246;0.01938;24038.00000;0.01906;0.01527;0.00981;14368.00000;49749.00000;0.04666;0.06387;0.05795;0.05434;0.05898;0.06482;0.06345;-1.00000;0.01675;0.02219
8;39799;9950;300;2;0.01136;0.02002;24029.00000;0.01964;0.01605;0.01020;14455.00000;49749.00000;0.04806;0.06560;0.05978;0.05613;0.06100;0.06658;0.06467;-1.00000;0.01592;0.02334
9;39799;9950;300;2;0.01045;0.02011;24050.00000;0.01967;0.01562;0.01031;14458.00000;49749.00000;0.04825;0.06593;0.06029;0.05663;0.06154;0.06692;0.06592;-1.00000;0.01638;0.02287
10;39799;9950;300;2;0.01045;0.02026;24039.00000;0.02005;0.01590;0.01027;14448.00000;49749.00000;0.04859;0.06596;0.06010;0.05644;0.06140;0.06693;0.06604;-1.00000;0.01668;0.02352
11;39799;9950;300;2;0.01266;0.01973;24034.00000;0.01934;0.01548;0.01011;14394.00000;49749.00000;0.04743;0.06490;0.05941;0.05577;0.06055;0.06588;0.06456;-1.00000;0.01704;0.02259
12;39799;9950;300;2;0.01106;0.02007;24005.00000;0.02002;0.01601;0.01006;14424.00000;49749.00000;0.04817;0.06520;0.05915;0.05551;0.06037;0.06616;0.06499;-1.00000;0.01699;0.02384
13;39799;9950;300;2;0.01256;0.01974;24019.00000;0.01996;0.01582;0.00979;14385.00000;49749.00000;0.04745;0.06389;0.05787;0.05425;0.05898;0.06483;0.06392;-1.00000;0.01648;0.02340
14;39799;9950;300;2;0.01045;0.02004;23974.00000;0.01942;0.01571;0.01034;14412.00000;49749.00000;0.04812;0.06612;0.06049;0.05683;0.06173;0.06712;0.06549;-1.00000;0.01694;0.02337
15;39799;9950;300;2;0.01186;0.01936;24020.00000;0.01862;0.01522;0.01011;14418.00000;49749.00000;0.04661;0.06450;0.05938;0.05576;0.06043;0.06548;0.06345;-1.00000;0.01627;0.02418
16;39799;9950;300;2;0.01045;0.02024;24019.00000;0.01986;0.01628;0.01028;14439.00000;49749.00000;0.04855;0.06621;0.06019;0.05653;0.06148;0.06719;0.06520;-1.00000;0.01689;0.02297
17;39799;9950;300;2;0.01226;0.01984;24058.00000;0.01973;0.01574;0.00999;14431.00000;49749.00000;0.04766;0.06469;0.05879;0.05516;0.05995;0.06565;0.06450;-1.00000;0.01644;0.02297
18;39799;9950;300;2;0.01136;0.01931;24008.00000;0.01872;0.01510;0.00991;14387.00000;49749.00000;0.04652;0.06416;0.05843;0.05482;0.05946;0.06513;0.06350;-1.00000;0.01618;0.02269
19;39799;9950;300;2;0.01075;0.01978;24027.00000;0.01922;0.01551;0.01021;14443.00000;49749.00000;0.04755;0.06533;0.05984;0.05620;0.06101;0.06631;0.06474;-1.00000;0.01638;0.02439
20;39799;9950;300;2;0.01126;0.02004;24021.00000;0.01964;0.01596;0.01023;14411.00000;49749.00000;0.04812;0.06574;0.05997;0.05631;0.06120;0.06672;0.06499;-1.00000;0.01679;0.02327
21;39799;9950;300;2;0.01166;0.01973;24015.00000;0.01909;0.01567;0.01021;14402.00000;49749.00000;0.04744;0.06533;0.05987;0.05623;0.06103;0.06632;0.06419;-1.00000;0.01692;0.02435
22;39799;9950;300;2;0.01095;0.01995;24013.00000;0.01948;0.01581;0.01022;14373.00000;49749.00000;0.04791;0.06560;0.05995;0.05629;0.06116;0.06658;0.06485;-1.00000;0.01738;0.02314
23;39799;9950;300;2;0.01256;0.01935;23996.00000;0.01934;0.01554;0.00972;14407.00000;49749.00000;0.04661;0.06329;0.05754;0.05394;0.05855;0.06423;0.06279;-1.00000;0.01679;0.02264
24;39799;9950;300;2;0.01186;0.01965;24021.00000;0.01901;0.01555;0.01010;14405.00000;49749.00000;0.04725;0.06510;0.05931;0.05568;0.06043;0.06609;0.06407;-1.00000;0.01683;0.02292
25;39799;9950;300;2;0.01166;0.01986;24029.00000;0.01962;0.01594;0.01008;14431.00000;49749.00000;0.04771;0.06497;0.05923;0.05559;0.06040;0.06593;0.06420;-1.00000;0.01670;0.02373
26;39799;9950;300;2;0.01106;0.02016;24031.00000;0.01992;0.01605;0.01012;14426.00000;49749.00000;0.04836;0.06573;0.05943;0.05579;0.06069;0.06670;0.06528;-1.00000;0.01687;0.02371
27;39799;9950;300;2;0.01106;0.01978;24030.00000;0.01934;0.01519;0.01010;14337.00000;49749.00000;0.04755;0.06515;0.05937;0.05572;0.06052;0.06613;0.06538;-1.00000;0.01721;0.02318
28;39799;9950;300;2;0.01116;0.01968;24007.00000;0.01951;0.01560;0.00987;14420.00000;49749.00000;0.04732;0.06440;0.05823;0.05461;0.05934;0.06536;0.06410;-1.00000;0.01682;0.02315
29;39799;9950;300;2;0.01065;0.02005;24031.00000;0.01978;0.01559;0.01019;14424.00000;49749.00000;0.04813;0.06552;0.05973;0.05608;0.06096;0.06649;0.06574;-1.00000;0.01761;0.02376
30;39799;9950;300;2;0.01126;0.01976;24041.00000;0.01945;0.01571;0.00998;14451.00000;49749.00000;0.04748;0.06480;0.05874;0.05511;0.05988;0.06577;0.06420;-1.00000;0.01740;0.02349
31;39799;9950;300;2;0.01136;0.02034;24054.00000;0.02028;0.01595;0.01021;14409.00000;49749.00000;0.04876;0.06591;0.05989;0.05622;0.06120;0.06688;0.06628;-1.00000;0.01611;0.02409
32;39799;9950;300;2;0.01126;0.01998;24040.00000;0.01978;0.01585;0.01008;14430.00000;49749.00000;0.04797;0.06521;0.05924;0.05560;0.06044;0.06617;0.06490;-1.00000;0.01748;0.02379
33;39799;9950;300;2;0.01216;0.01961;24005.00000;0.01965;0.01560;0.00981;14384.00000;49749.00000;0.04718;0.06388;0.05796;0.05434;0.05904;0.06483;0.06381;-1.00000;0.01678;0.02373
34;39799;9950;300;2;0.01146;0.01990;24022.00000;0.01964;0.01596;0.01003;14420.00000;49749.00000;0.04780;0.06511;0.05899;0.05535;0.06017;0.06608;0.06435;-1.00000;0.01706;0.02279
35;39799;9950;300;2;0.01075;0.01997;24038.00000;0.01944;0.01545;0.01027;14417.00000;49749.00000;0.04795;0.06573;0.06014;0.05648;0.06136;0.06672;0.06566;-1.00000;0.01734;0.02375
36;39799;9950;300;2;0.01166;0.01974;23963.00000;0.01954;0.01547;0.00998;14389.00000;49749.00000;0.04747;0.06464;0.05880;0.05516;0.05993;0.06561;0.06466;-1.00000;0.01743;0.02358
37;39799;9950;300;2;0.01035;0.02006;24030.00000;0.01950;0.01568;0.01035;14407.00000;49749.00000;0.04814;0.06603;0.06052;0.05685;0.06176;0.06702;0.06559;-1.00000;0.01690;0.02331
38;39799;9950;300;2;0.01025;0.02023;24021.00000;0.01971;0.01596;0.01039;14430.00000;49749.00000;0.04853;0.06642;0.06069;0.05703;0.06199;0.06741;0.06580;-1.00000;0.01699;0.02397
39;39799;9950;300;2;0.01055;0.02039;24049.00000;0.02018;0.01618;0.01035;14418.00000;49749.00000;0.04888;0.06631;0.06051;0.05684;0.06184;0.06729;0.06606;-1.00000;0.01663;0.02423
40;39799;9950;300;2;0.01035;0.01991;23990.00000;0.01940;0.01554;0.01025;14382.00000;49749.00000;0.04783;0.06557;0.06005;0.05640;0.06125;0.06656;0.06523;-1.00000;0.01650;0.02302
41;39799;9950;300;2;0.01126;0.01992;24038.00000;0.01972;0.01581;0.01003;14425.00000;49749.00000;0.04784;0.06504;0.05899;0.05535;0.06017;0.06601;0.06472;-1.00000;0.01741;0.02398
42;39799;9950;300;2;0.01126;0.02009;23989.00000;0.01964;0.01591;0.01023;14388.00000;49749.00000;0.04822;0.06594;0.05999;0.05633;0.06124;0.06692;0.06529;-1.00000;0.01713;0.02345
43;39799;9950;300;2;0.01166;0.01971;24035.00000;0.01946;0.01548;0.01002;14425.00000;49749.00000;0.04739;0.06462;0.05893;0.05530;0.06006;0.06558;0.06449;-1.00000;0.01677;0.02294
44;39799;9950;300;2;0.01106;0.02004;24025.00000;0.01944;0.01568;0.01035;14417.00000;49749.00000;0.04811;0.06605;0.06051;0.05684;0.06175;0.06704;0.06552;-1.00000;0.01718;0.02367
45;39799;9950;300;2;0.01186;0.01939;24052.00000;0.01873;0.01517;0.01001;14406.00000;49749.00000;0.04668;0.06445;0.05888;0.05527;0.05993;0.06542;0.06367;-1.00000;0.01656;0.02267
46;39799;9950;300;2;0.01015;0.02066;24033.00000;0.02063;0.01667;0.01031;14423.00000;49749.00000;0.04947;0.06670;0.06033;0.05665;0.06173;0.06768;0.06627;-1.00000;0.01760;0.02571
47;39799;9950;300;2;0.01116;0.02027;23997.00000;0.02034;0.01616;0.01010;14442.00000;49749.00000;0.04862;0.06554;0.05931;0.05566;0.06059;0.06650;0.06559;-1.00000;0.01768;0.02407
48;39799;9950;300;2;0.01045;0.01974;24033.00000;0.01881;0.01544;0.01032;14419.00000;49749.00000;0.04745;0.06583;0.06036;0.05671;0.06153;0.06684;0.06469;-1.00000;0.01687;0.02271
49;39799;9950;300;2;0.01126;0.01968;24030.00000;0.01930;0.01555;0.01007;14412.00000;49749.00000;0.04733;0.06475;0.05917;0.05554;0.06030;0.06572;0.06421;-1.00000;0.01697;0.02397
50;39799;9950;300;2;0.01126;0.01957;24009.00000;0.01908;0.01534;0.01005;14408.00000;49749.00000;0.04709;0.06467;0.05908;0.05546;0.06018;0.06564;0.06415;-1.00000;0.01729;0.02290
