repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;39799;9950;300;2;0.01025;0.01860;14430.00000;0.01707;0.01084;0.01009;5174.00000;49749.00000;0.04723;0.07254;0.07279;0.06673;0.07347;0.07410;0.07365;-1.00000;0.01403;0.02150
2;39799;9950;300;2;0.01075;0.01844;14503.00000;0.01714;0.01096;0.00996;5201.00000;49749.00000;0.04685;0.07166;0.07201;0.06598;0.07262;0.07319;0.07263;-1.00000;0.01458;0.02216
3;39799;9950;300;2;0.01055;0.01897;14475.00000;0.01750;0.01114;0.01026;5193.00000;49749.00000;0.04805;0.07347;0.07359;0.06751;0.07441;0.07504;0.07470;-1.00000;0.01556;0.02275
4;39799;9950;300;2;0.01176;0.01848;14501.00000;0.01676;0.01072;0.01024;5171.00000;49749.00000;0.04694;0.07244;0.07354;0.06748;0.07421;0.07400;0.07330;-1.00000;0.01521;0.02191
5;39799;9950;300;2;0.01015;0.01854;14498.00000;0.01659;0.01049;0.01026;5154.00000;49749.00000;0.04707;0.07296;0.07368;0.06761;0.07437;0.07454;0.07402;-1.00000;0.01552;0.02097
6;39799;9950;300;2;0.00995;0.01878;14493.00000;0.01726;0.01096;0.01016;5159.00000;49749.00000;0.04760;0.07300;0.07317;0.06709;0.07392;0.07456;0.07416;-1.00000;0.01609;0.02207
7;39799;9950;300;2;0.01075;0.01886;14512.00000;0.01733;0.01077;0.01021;5193.00000;49749.00000;0.04779;0.07322;0.07332;0.06725;0.07410;0.07479;0.07492;-1.00000;0.01641;0.02357
8;39799;9950;300;2;0.01065;0.01893;14490.00000;0.01729;0.01073;0.01026;5171.00000;49749.00000;0.04795;0.07361;0.07366;0.06757;0.07447;0.07519;0.07531;-1.00000;0.01586;0.02381
9;39799;9950;300;2;0.01136;0.01842;14482.00000;0.01668;0.01063;0.01010;5200.00000;49749.00000;0.04682;0.07229;0.07273;0.06670;0.07337;0.07384;0.07324;-1.00000;0.01543;0.02130
10;39799;9950;300;2;0.01216;0.01814;14459.00000;0.01677;0.01034;0.00967;5166.00000;49749.00000;0.04618;0.07095;0.07061;0.06460;0.07109;0.07247;0.07254;-1.00000;0.01607;0.02126
11;39799;9950;300;2;0.01065;0.01835;14490.00000;0.01652;0.01053;0.01007;5181.00000;49749.00000;0.04664;0.07220;0.07265;0.06662;0.07326;0.07376;0.07309;-1.00000;0.01561;0.02165
12;39799;9950;300;2;0.01116;0.01857;14473.00000;0.01702;0.01071;0.01011;5144.00000;49749.00000;0.04715;0.07248;0.07296;0.06688;0.07364;0.07404;0.07374;-1.00000;0.01603;0.02130
13;39799;9950;300;2;0.01126;0.01846;14476.00000;0.01705;0.01084;0.00988;5177.00000;49749.00000;0.04689;0.07190;0.07165;0.06562;0.07226;0.07343;0.07295;-1.00000;0.01512;0.02081
14;39799;9950;300;2;0.01286;0.01773;14451.00000;0.01647;0.01038;0.00947;5193.00000;49749.00000;0.04527;0.06960;0.06947;0.06352;0.06981;0.07108;0.07062;-1.00000;0.01395;0.02111
15;39799;9950;300;2;0.00985;0.01871;14502.00000;0.01753;0.01081;0.00998;5162.00000;49749.00000;0.04744;0.07227;0.07228;0.06621;0.07297;0.07381;0.07412;-1.00000;0.01483;0.02204
16;39799;9950;300;2;0.01206;0.01831;14506.00000;0.01656;0.01054;0.01002;5158.00000;49749.00000;0.04655;0.07199;0.07246;0.06642;0.07305;0.07354;0.07287;-1.00000;0.01526;0.02104
17;39799;9950;300;2;0.01196;0.01813;14433.00000;0.01676;0.01047;0.00972;5164.00000;49749.00000;0.04617;0.07094;0.07087;0.06486;0.07136;0.07246;0.07226;-1.00000;0.01494;0.02201
18;39799;9950;300;2;0.01146;0.01879;14475.00000;0.01778;0.01116;0.00986;5118.00000;49749.00000;0.04764;0.07233;0.07182;0.06572;0.07251;0.07386;0.07383;-1.00000;0.01627;0.02197
19;39799;9950;300;2;0.01146;0.01839;14464.00000;0.01682;0.01049;0.00991;5159.00000;49749.00000;0.04675;0.07199;0.07187;0.06583;0.07246;0.07354;0.07339;-1.00000;0.01552;0.02246
20;39799;9950;300;2;0.01216;0.01812;14502.00000;0.01681;0.01052;0.00968;5215.00000;49749.00000;0.04613;0.07073;0.07051;0.06453;0.07099;0.07224;0.07207;-1.00000;0.01423;0.02145
21;39799;9950;300;2;0.01166;0.01834;14494.00000;0.01678;0.01055;0.00997;5158.00000;49749.00000;0.04662;0.07179;0.07218;0.06614;0.07277;0.07333;0.07301;-1.00000;0.01546;0.02205
22;39799;9950;300;2;0.01176;0.01824;14512.00000;0.01664;0.01063;0.00994;5189.00000;49749.00000;0.04639;0.07153;0.07191;0.06589;0.07246;0.07306;0.07239;-1.00000;0.01474;0.02275
23;39799;9950;300;2;0.01095;0.01844;14466.00000;0.01665;0.01041;0.01012;5166.00000;49749.00000;0.04685;0.07244;0.07296;0.06691;0.07361;0.07401;0.07375;-1.00000;0.01566;0.02183
24;39799;9950;300;2;0.01216;0.01807;14494.00000;0.01635;0.01045;0.00987;5171.00000;49749.00000;0.04602;0.07126;0.07161;0.06560;0.07211;0.07280;0.07200;-1.00000;0.01494;0.02112
25;39799;9950;300;2;0.01005;0.01889;14485.00000;0.01718;0.01086;0.01024;5175.00000;49749.00000;0.04786;0.07359;0.07355;0.06747;0.07435;0.07518;0.07487;-1.00000;0.01583;0.02189
26;39799;9950;300;2;0.01015;0.01882;14513.00000;0.01703;0.01083;0.01028;5192.00000;49749.00000;0.04769;0.07347;0.07370;0.06764;0.07449;0.07505;0.07459;-1.00000;0.01651;0.02169
27;39799;9950;300;2;0.01095;0.01859;14466.00000;0.01697;0.01062;0.01016;5202.00000;49749.00000;0.04720;0.07259;0.07302;0.06697;0.07371;0.07415;0.07403;-1.00000;0.01596;0.02304
