repeat;n_train;n_ulb;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;sh;best_tree;worst_tree
1;3907;22141;6513;123;2;0.16935;0.22408;1379.00000;0.20916;0.20821;0.12051;470.00000;22611.00000;0.53770;0.70094;0.71703;0.73121;1.00000;0.69070;-1.00000;0.19419;0.25176
2;3907;22141;6513;123;2;0.16951;0.21869;1392.00000;0.20490;0.21021;0.11638;470.00000;22611.00000;0.52584;0.68853;0.70164;0.71174;1.00000;0.66297;-1.00000;0.19669;0.24293
3;3907;22141;6513;123;2;0.16552;0.21250;1385.00000;0.20151;0.20023;0.11135;460.00000;22601.00000;0.51290;0.67437;0.68542;0.69066;1.00000;0.65657;-1.00000;0.18226;0.23622
4;3907;22141;6513;123;2;0.17350;0.21854;1393.00000;0.20176;0.20392;0.11771;471.00000;22612.00000;0.52549;0.69033;0.70462;0.71772;1.00000;0.67458;-1.00000;0.19121;0.24020
5;3907;22141;6513;123;2;0.16736;0.22337;1402.00000;0.20869;0.20481;0.11887;477.00000;22618.00000;0.53547;0.69802;0.70996;0.72161;1.00000;0.69281;-1.00000;0.19775;0.24913
6;3907;22141;6513;123;2;0.16905;0.22060;1387.00000;0.20963;0.20808;0.11569;470.00000;22611.00000;0.53006;0.69057;0.70115;0.70848;1.00000;0.67561;-1.00000;0.19848;0.24966
7;3907;22141;6513;123;2;0.16905;0.22099;1395.00000;0.20703;0.20855;0.11671;453.00000;22594.00000;0.53064;0.69412;0.70732;0.71803;1.00000;0.67584;-1.00000;0.19735;0.24266
8;3907;22141;6513;123;2;0.16813;0.22612;1389.00000;0.21076;0.20985;0.11972;468.00000;22609.00000;0.54171;0.70508;0.71548;0.72802;1.00000;0.69551;-1.00000;0.19986;0.25896
9;3907;22141;6513;123;2;0.16705;0.21914;1383.00000;0.20522;0.20178;0.11592;464.00000;22605.00000;0.52708;0.69022;0.70151;0.71118;1.00000;0.68198;-1.00000;0.19241;0.24804
10;3907;22141;6513;123;2;0.16628;0.21624;1367.00000;0.20212;0.20048;0.11514;467.00000;22608.00000;0.52142;0.68492;0.69704;0.70670;1.00000;0.67323;-1.00000;0.19502;0.24020
11;3907;22141;6513;123;2;0.17473;0.22732;1392.00000;0.20949;0.20578;0.12311;459.00000;22600.00000;0.54416;0.70955;0.72792;0.74648;1.00000;0.70837;-1.00000;0.19902;0.26502
12;3907;22141;6513;123;2;0.17120;0.22729;1381.00000;0.20844;0.21097;0.12364;463.00000;22604.00000;0.54444;0.71046;0.72833;0.74784;1.00000;0.69881;-1.00000;0.20251;0.25139
13;3907;22141;6513;123;2;0.17089;0.21847;1386.00000;0.20261;0.20432;0.11774;464.00000;22605.00000;0.52556;0.69015;0.70656;0.71978;1.00000;0.67396;-1.00000;0.19212;0.24584
14;3907;22141;6513;123;2;0.17227;0.21797;1389.00000;0.20437;0.20615;0.11612;454.00000;22595.00000;0.52441;0.68784;0.70408;0.71496;1.00000;0.66807;-1.00000;0.19409;0.24236
15;3907;22141;6513;123;2;0.17642;0.22832;1379.00000;0.21077;0.21066;0.12268;459.00000;22600.00000;0.54668;0.71188;0.72705;0.74445;1.00000;0.70391;-1.00000;0.20264;0.25414
16;3907;22141;6513;123;2;0.17734;0.22679;1390.00000;0.21092;0.20900;0.12123;460.00000;22601.00000;0.54309;0.70711;0.72220;0.73735;1.00000;0.69992;-1.00000;0.20731;0.24825
17;3907;22141;6513;123;2;0.17672;0.22270;1371.00000;0.20813;0.20465;0.11888;456.00000;22597.00000;0.53502;0.69889;0.71428;0.72742;1.00000;0.69233;-1.00000;0.19834;0.24427
18;3907;22141;6513;123;2;0.16644;0.22493;1390.00000;0.20563;0.21236;0.12133;474.00000;22615.00000;0.53915;0.70513;0.71743;0.73396;1.00000;0.68544;-1.00000;0.20584;0.25119
19;3907;22141;6513;123;2;0.17135;0.22793;1386.00000;0.21166;0.20755;0.12258;451.00000;22592.00000;0.54562;0.71030;0.72884;0.74627;1.00000;0.70787;-1.00000;0.19574;0.24810
20;3907;22141;6513;123;2;0.17857;0.21214;1404.00000;0.19584;0.19885;0.11368;476.00000;22617.00000;0.51154;0.67605;0.68775;0.69739;1.00000;0.65649;-1.00000;0.19195;0.24065
