repeat;n_train;n_ulb;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;sh;best_tree;worst_tree
1;14288;33340;11907;8;2;0.04989;0.11311;5128.00000;0.13922;0.13820;0.04349;1817.00000;35157.00000;0.26311;0.30586;0.27611;0.25791;0.39050;0.26897;-1.00000;0.08804;0.15267
2;14288;33340;11907;8;2;0.05232;0.11584;5175.00000;0.14098;0.13833;0.04539;1814.00000;35154.00000;0.26876;0.31374;0.28550;0.26706;0.40674;0.28005;-1.00000;0.09415;0.15723
3;14288;33340;11907;8;2;0.05635;0.11428;5161.00000;0.14061;0.14100;0.04401;1821.00000;35161.00000;0.26548;0.30806;0.27856;0.26031;0.39525;0.26825;-1.00000;0.09538;0.15832
4;14288;33340;11907;8;2;0.05232;0.11366;5182.00000;0.13821;0.13856;0.04474;1822.00000;35162.00000;0.26408;0.30924;0.28206;0.26375;0.39847;0.27022;-1.00000;0.09288;0.16139
5;14288;33340;11907;8;2;0.05409;0.11412;5175.00000;0.13907;0.13787;0.04451;1823.00000;35163.00000;0.26510;0.30976;0.28095;0.26266;0.39788;0.27360;-1.00000;0.08941;0.15470
6;14288;33340;11907;8;2;0.05610;0.11251;5181.00000;0.13724;0.13691;0.04386;1780.00000;35120.00000;0.26164;0.30671;0.27901;0.26061;0.39349;0.26855;-1.00000;0.08892;0.15263
7;14288;33340;11907;8;2;0.05476;0.11462;5156.00000;0.14007;0.14134;0.04481;1813.00000;35153.00000;0.26622;0.31041;0.28269;0.26431;0.40123;0.26907;-1.00000;0.09154;0.15495
8;14288;33340;11907;8;2;0.05509;0.10955;5161.00000;0.13557;0.13521;0.04180;1831.00000;35171.00000;0.25539;0.29694;0.26737;0.24947;0.37328;0.25931;-1.00000;0.08493;0.14901
9;14288;33340;11907;8;2;0.05148;0.11542;5174.00000;0.14106;0.14098;0.04491;1804.00000;35144.00000;0.26786;0.31205;0.28345;0.26500;0.40360;0.27308;-1.00000;0.09462;0.15424
10;14288;33340;11907;8;2;0.05551;0.11346;5176.00000;0.13768;0.13806;0.04459;1800.00000;35140.00000;0.26369;0.30962;0.28198;0.26359;0.39850;0.27040;-1.00000;0.09491;0.15438
11;14288;33340;11907;8;2;0.05526;0.11105;5151.00000;0.13401;0.13399;0.04387;1816.00000;35156.00000;0.25864;0.30573;0.27793;0.25975;0.38933;0.26822;-1.00000;0.09198;0.16314
12;14288;33340;11907;8;2;0.05459;0.11144;5171.00000;0.13494;0.13660;0.04409;1814.00000;35154.00000;0.25940;0.30572;0.27909;0.26086;0.39131;0.26464;-1.00000;0.08716;0.15842
13;14288;33340;11907;8;2;0.05829;0.11317;5182.00000;0.13990;0.14166;0.04321;1824.00000;35164.00000;0.26304;0.30456;0.27451;0.25638;0.38808;0.26207;-1.00000;0.09153;0.14083
14;14288;33340;11907;8;2;0.05669;0.11445;5183.00000;0.14077;0.13892;0.04406;1814.00000;35154.00000;0.26577;0.30843;0.27901;0.26072;0.39608;0.27289;-1.00000;0.09153;0.14554
15;14288;33340;11907;8;2;0.05451;0.11837;5174.00000;0.14593;0.14667;0.04542;1816.00000;35156.00000;0.27414;0.31595;0.28560;0.26713;0.41128;0.27457;-1.00000;0.09419;0.16001
16;14288;33340;11907;8;2;0.05442;0.11336;5125.00000;0.13876;0.13905;0.04403;1802.00000;35142.00000;0.26364;0.30779;0.27918;0.26085;0.39509;0.26839;-1.00000;0.09011;0.15540
17;14288;33340;11907;8;2;0.05325;0.11432;5170.00000;0.13988;0.14034;0.04424;1817.00000;35157.00000;0.26553;0.30937;0.27977;0.26148;0.39686;0.26966;-1.00000;0.09185;0.15439
18;14288;33340;11907;8;2;0.05652;0.11543;5134.00000;0.14066;0.14116;0.04498;1802.00000;35142.00000;0.26803;0.31304;0.28387;0.26542;0.40450;0.27307;-1.00000;0.08510;0.15039
19;14288;33340;11907;8;2;0.05879;0.11324;5141.00000;0.13774;0.13708;0.04433;1809.00000;35149.00000;0.26334;0.30875;0.28044;0.26212;0.39626;0.27161;-1.00000;0.09318;0.15684
20;14288;33340;11907;8;2;0.05333;0.11644;5170.00000;0.14224;0.14313;0.04528;1795.00000;35135.00000;0.27005;0.31440;0.28554;0.26700;0.40823;0.27327;-1.00000;0.09523;0.16372
