repeat;n_train;n_ulb;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;sh;best_tree;worst_tree
1;2599;3900;1625;22;2;0.00000;0.00119;908.00000;0.00196;0.00191;0.00021;302.00000;4202.00000;0.02331;0.04723;0.11618;0.09050;0.10478;0.04941;-1.00000;0.00000;0.00715
2;2599;3900;1625;22;2;0.00000;0.00153;917.00000;0.00263;0.00206;0.00023;294.00000;4194.00000;0.02482;0.05019;0.11922;0.09303;0.10805;0.05237;-1.00000;0.00000;0.00843
3;2599;3900;1625;22;2;0.00000;0.00134;901.00000;0.00242;0.00187;0.00013;290.00000;4190.00000;0.02420;0.04898;0.11849;0.09207;0.10699;0.05127;-1.00000;0.00000;0.00938
4;2599;3900;1625;22;2;0.00000;0.00151;904.00000;0.00273;0.00324;0.00017;289.00000;4189.00000;0.02499;0.05053;0.11964;0.09314;0.10835;0.05177;-1.00000;0.00000;0.00734
5;2599;3900;1625;22;2;0.00000;0.00136;928.00000;0.00249;0.00185;0.00013;305.00000;4205.00000;0.02380;0.04817;0.11362;0.08802;0.10215;0.05040;-1.00000;0.00000;0.00932
6;2599;3900;1625;22;2;0.00000;0.00138;915.00000;0.00241;0.00207;0.00015;298.00000;4198.00000;0.02414;0.04886;0.11634;0.09038;0.10494;0.05098;-1.00000;0.00000;0.00832
7;2599;3900;1625;22;2;0.00123;0.00102;910.00000;0.00174;0.00186;0.00011;297.00000;4197.00000;0.02240;0.04543;0.11566;0.08970;0.10386;0.04757;-1.00000;0.00000;0.01049
8;2599;3900;1625;22;2;0.00123;0.00136;925.00000;0.00169;0.00242;0.00049;301.00000;4201.00000;0.02386;0.04829;0.12105;0.09539;0.11017;0.05011;-1.00000;0.00000;0.00621
9;2599;3900;1625;22;2;0.00000;0.00136;921.00000;0.00253;0.00203;0.00009;297.00000;4197.00000;0.02395;0.04847;0.11543;0.08939;0.10386;0.05059;-1.00000;0.00000;0.01146
10;2599;3900;1625;22;2;0.00000;0.00146;922.00000;0.00251;0.00233;0.00017;296.00000;4196.00000;0.02439;0.04934;0.11725;0.09117;0.10590;0.05128;-1.00000;0.00000;0.00867
11;2599;3900;1625;22;2;0.00000;0.00113;914.00000;0.00203;0.00210;0.00011;301.00000;4201.00000;0.02294;0.04650;0.11458;0.08881;0.10292;0.04851;-1.00000;0.00000;0.00853
12;2599;3900;1625;22;2;0.00123;0.00143;914.00000;0.00199;0.00204;0.00053;288.00000;4188.00000;0.02439;0.04935;0.12596;0.09956;0.11514;0.05151;-1.00000;0.00000;0.00936
13;2599;3900;1625;22;2;0.00000;0.00106;900.00000;0.00179;0.00150;0.00012;298.00000;4198.00000;0.02282;0.04627;0.11556;0.08966;0.10387;0.04867;-1.00000;0.00000;0.00727
14;2599;3900;1625;22;2;0.00000;0.00106;909.00000;0.00189;0.00170;0.00017;279.00000;4179.00000;0.02262;0.04588;0.12305;0.09606;0.11121;0.04814;-1.00000;0.00000;0.00617
15;2599;3900;1625;22;2;0.00000;0.00142;919.00000;0.00245;0.00241;0.00020;293.00000;4193.00000;0.02425;0.04906;0.11881;0.09257;0.10745;0.05093;-1.00000;0.00000;0.00725
16;2599;3900;1625;22;2;0.00123;0.00147;919.00000;0.00197;0.00193;0.00045;293.00000;4193.00000;0.02453;0.04961;0.12308;0.09695;0.11222;0.05185;-1.00000;0.00000;0.00826
17;2599;3900;1625;22;2;0.00000;0.00145;914.00000;0.00261;0.00206;0.00015;301.00000;4201.00000;0.02451;0.04957;0.11531;0.08949;0.10399;0.05173;-1.00000;0.00000;0.01155
18;2599;3900;1625;22;2;0.00246;0.00107;912.00000;0.00140;0.00240;0.00041;301.00000;4201.00000;0.02266;0.04595;0.11970;0.09406;0.10847;0.04772;-1.00000;0.00000;0.00841
19;2599;3900;1625;22;2;0.00000;0.00165;919.00000;0.00232;0.00253;0.00058;300.00000;4200.00000;0.02534;0.05121;0.12285;0.09707;0.11236;0.05308;-1.00000;0.00000;0.00834
20;2599;3900;1625;22;2;0.00000;0.00163;913.00000;0.00272;0.00284;0.00030;298.00000;4198.00000;0.02539;0.05131;0.11906;0.09310;0.10815;0.05293;-1.00000;0.00000;0.00962
