repeat;n_train;n_ulb;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;sh;best_tree;worst_tree
1;3095;5749;2211;68;2;0.04749;0.08016;1103.00000;0.09393;0.09766;0.03387;361.00000;6110.00000;0.22960;0.34679;0.35044;0.32138;0.56659;0.30133;-1.00000;0.05009;0.11478
2;3095;5749;2211;68;2;0.04116;0.08579;1087.00000;0.09821;0.09714;0.03662;361.00000;6110.00000;0.24322;0.36551;0.36591;0.33725;0.61530;0.32977;-1.00000;0.06147;0.10954
3;3095;5749;2211;68;2;0.04251;0.08324;1106.00000;0.09725;0.09581;0.03463;367.00000;6116.00000;0.23669;0.35502;0.35324;0.32399;0.58172;0.31900;-1.00000;0.05836;0.11121
4;3095;5749;2211;68;2;0.03528;0.08185;1087.00000;0.09948;0.09501;0.03207;360.00000;6109.00000;0.23408;0.34877;0.34195;0.31120;0.55999;0.31532;-1.00000;0.05919;0.10433
5;3095;5749;2211;68;2;0.04251;0.07916;1096.00000;0.09361;0.09202;0.03210;350.00000;6099.00000;0.22751;0.34432;0.34435;0.31441;0.55519;0.30760;-1.00000;0.05440;0.10275
6;3095;5749;2211;68;2;0.04613;0.08046;1099.00000;0.09434;0.09576;0.03337;364.00000;6113.00000;0.23044;0.34760;0.34687;0.31758;0.56200;0.30656;-1.00000;0.05351;0.10625
7;3095;5749;2211;68;2;0.04116;0.08765;1095.00000;0.09819;0.09301;0.03800;368.00000;6117.00000;0.24727;0.37183;0.37090;0.34299;0.62974;0.34549;-1.00000;0.06480;0.11857
8;3095;5749;2211;68;2;0.03890;0.07849;1099.00000;0.09362;0.09323;0.03171;364.00000;6113.00000;0.22583;0.34048;0.33770;0.30790;0.54001;0.30196;-1.00000;0.05647;0.10227
9;3095;5749;2211;68;2;0.05020;0.07648;1093.00000;0.08977;0.08986;0.03194;368.00000;6117.00000;0.22132;0.33648;0.33707;0.30811;0.53233;0.29911;-1.00000;0.05320;0.09966
10;3095;5749;2211;68;2;0.03890;0.08005;1089.00000;0.09571;0.09106;0.03199;365.00000;6114.00000;0.22982;0.34507;0.33928;0.30925;0.54868;0.31402;-1.00000;0.05919;0.10439
11;3095;5749;2211;68;2;0.05111;0.07272;1088.00000;0.08769;0.09492;0.02850;357.00000;6106.00000;0.21265;0.32446;0.32098;0.29090;0.49585;0.27234;-1.00000;0.05349;0.10413
12;3095;5749;2211;68;2;0.04749;0.08084;1102.00000;0.09153;0.09756;0.03490;368.00000;6117.00000;0.23124;0.35155;0.35333;0.32529;0.57364;0.30480;-1.00000;0.05950;0.11024
13;3095;5749;2211;68;2;0.04387;0.08220;1095.00000;0.09449;0.09837;0.03475;362.00000;6111.00000;0.23462;0.35468;0.35498;0.32621;0.58251;0.31015;-1.00000;0.05379;0.10680
14;3095;5749;2211;68;2;0.04161;0.08039;1094.00000;0.09245;0.09511;0.03376;367.00000;6116.00000;0.23044;0.34935;0.34769;0.31896;0.56348;0.30778;-1.00000;0.04969;0.11854
15;3095;5749;2211;68;2;0.03980;0.08288;1088.00000;0.09482;0.09729;0.03510;361.00000;6110.00000;0.23643;0.35749;0.35718;0.32849;0.58953;0.31583;-1.00000;0.05851;0.10550
16;3095;5749;2211;68;2;0.03166;0.08287;1105.00000;0.09601;0.09495;0.03436;358.00000;6107.00000;0.23586;0.35550;0.35444;0.32515;0.58392;0.31894;-1.00000;0.05872;0.10351
17;3095;5749;2211;68;2;0.04206;0.08814;1091.00000;0.10043;0.09926;0.03750;359.00000;6108.00000;0.24854;0.37233;0.37163;0.34292;0.63474;0.33654;-1.00000;0.06074;0.11159
18;3095;5749;2211;68;2;0.04478;0.07999;1097.00000;0.09185;0.09578;0.03382;357.00000;6106.00000;0.22940;0.34885;0.35106;0.32230;0.56854;0.30445;-1.00000;0.05764;0.11180
19;3095;5749;2211;68;2;0.03392;0.08325;1087.00000;0.09456;0.09128;0.03587;361.00000;6110.00000;0.23735;0.35930;0.36121;0.33292;0.59768;0.32877;-1.00000;0.06201;0.11911
20;3095;5749;2211;68;2;0.04387;0.08209;1106.00000;0.09709;0.09315;0.03351;360.00000;6109.00000;0.23400;0.35110;0.34937;0.31957;0.57188;0.31851;-1.00000;0.05982;0.10708
