repeat;n_train;n_ulb;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;sh;best_tree;worst_tree
1;15919;23880;9950;300;2;0.01176;0.02239;5755.00000;0.02167;0.02145;0.01135;2030.00000;25910.00000;0.06220;0.10076;0.10225;0.09190;0.10502;0.09052;-1.00000;0.01768;0.02770
2;15919;23880;9950;300;2;0.01367;0.02161;5763.00000;0.02069;0.02125;0.01128;2032.00000;25912.00000;0.06038;0.09853;0.10178;0.09150;0.10423;0.08721;-1.00000;0.01690;0.02629
3;15919;23880;9950;300;2;0.01116;0.01959;5764.00000;0.01872;0.01946;0.01038;2036.00000;25916.00000;0.05563;0.09191;0.09648;0.08642;0.09787;0.08090;-1.00000;0.01513;0.02436
4;15919;23880;9950;300;2;0.01196;0.02175;5739.00000;0.02159;0.02120;0.01084;1998.00000;25878.00000;0.06073;0.09814;0.09989;0.08951;0.10222;0.08801;-1.00000;0.01666;0.02882
5;15919;23880;9950;300;2;0.01146;0.02248;5759.00000;0.02108;0.02067;0.01178;2029.00000;25909.00000;0.06242;0.10195;0.10466;0.09431;0.10767;0.09235;-1.00000;0.01699;0.02801
6;15919;23880;9950;300;2;0.01216;0.02171;5740.00000;0.02105;0.02121;0.01111;2019.00000;25899.00000;0.06064;0.09860;0.10107;0.09075;0.10350;0.08781;-1.00000;0.01648;0.02750
7;15919;23880;9950;300;2;0.01156;0.02143;5782.00000;0.02144;0.02120;0.01078;2030.00000;25910.00000;0.05992;0.09667;0.09904;0.08876;0.10119;0.08637;-1.00000;0.01776;0.02680
8;15919;23880;9950;300;2;0.01286;0.02364;5770.00000;0.02367;0.02200;0.01186;2051.00000;25931.00000;0.06509;0.10359;0.10491;0.09445;0.10830;0.09532;-1.00000;0.01654;0.03016
9;15919;23880;9950;300;2;0.01296;0.02205;5763.00000;0.02175;0.02201;0.01120;2042.00000;25922.00000;0.06141;0.09909;0.10123;0.09092;0.10378;0.08789;-1.00000;0.01667;0.02785
10;15919;23880;9950;300;2;0.01186;0.02234;5762.00000;0.02185;0.02002;0.01147;2026.00000;25906.00000;0.06207;0.10029;0.10302;0.09264;0.10580;0.09286;-1.00000;0.01771;0.02844
11;15919;23880;9950;300;2;0.01216;0.02140;5768.00000;0.02080;0.02055;0.01103;2036.00000;25916.00000;0.05986;0.09739;0.10034;0.09009;0.10261;0.08745;-1.00000;0.01654;0.02688
12;15919;23880;9950;300;2;0.01387;0.02066;5749.00000;0.02050;0.02097;0.01050;2011.00000;25891.00000;0.05816;0.09457;0.09765;0.08741;0.09944;0.08326;-1.00000;0.01578;0.02569
13;15919;23880;9950;300;2;0.01357;0.02161;5752.00000;0.02165;0.02233;0.01067;2034.00000;25914.00000;0.06038;0.09727;0.09836;0.08809;0.10054;0.08524;-1.00000;0.01574;0.02682
14;15919;23880;9950;300;2;0.01286;0.02283;5775.00000;0.02251;0.02177;0.01181;2023.00000;25903.00000;0.06321;0.10162;0.10500;0.09454;0.10809;0.09195;-1.00000;0.01761;0.02779
15;15919;23880;9950;300;2;0.01246;0.02053;5748.00000;0.01986;0.01960;0.01055;2042.00000;25922.00000;0.05787;0.09474;0.09743;0.08730;0.09922;0.08514;-1.00000;0.01566;0.02467
16;15919;23880;9950;300;2;0.01317;0.02171;5771.00000;0.02037;0.01986;0.01162;2034.00000;25914.00000;0.06060;0.09936;0.10363;0.09335;0.10627;0.09018;-1.00000;0.01811;0.02765
17;15919;23880;9950;300;2;0.01296;0.02195;5766.00000;0.02171;0.02313;0.01106;2035.00000;25915.00000;0.06117;0.09870;0.10054;0.09023;0.10300;0.08537;-1.00000;0.01730;0.02767
18;15919;23880;9950;300;2;0.01166;0.02056;5727.00000;0.02042;0.02060;0.01044;2032.00000;25912.00000;0.05796;0.09422;0.09701;0.08683;0.09874;0.08352;-1.00000;0.01645;0.02479
19;15919;23880;9950;300;2;0.01266;0.02248;5745.00000;0.02213;0.02333;0.01142;2029.00000;25909.00000;0.06244;0.10062;0.10271;0.09232;0.10553;0.08757;-1.00000;0.01763;0.02889
20;15919;23880;9950;300;2;0.01236;0.02142;5741.00000;0.02106;0.02148;0.01083;2022.00000;25902.00000;0.05996;0.09727;0.09942;0.08914;0.10162;0.08595;-1.00000;0.01658;0.02788
